,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,1.2296864354045274,1.2291034553134965,1.2302013713177549,1.2306619024800454,1.2310948943599358,0.00048185275927530637,1.2301790440099047,1.2304324870738776,-0.27611262373957635,0.0004877057602728439
numax,2.3392499703132126,2.335327841267166,2.3431584545138637,2.346845387581736,2.3506921909007357,0.0038136441168277217,2.343064923962003,2.343709208459283,-0.07535365936160865,0.0038477764614072898
eps,1.3357724213741542,1.3225737544477112,1.349737166701413,1.365442653918205,1.3837788287278268,0.014705202401112547,1.3505423101224747,1.3430149001893168,0.31723711499690327,0.014989219479865697
d02,0.3463211821973623,0.33719405450795614,0.35570648257975945,0.36480945682189203,0.3736776301034026,0.009400636328085932,0.3555518160084905,0.3536970605367889,-0.05353718137256488,0.009247984392637918
alpha,-2.251138097651695,-2.365155311716948,-2.172071432401847,-2.111612173835016,-2.0586003793881082,0.06686627544725814,-2.181748215435978,-2.154440245369538,-0.767145734693249,0.07463371297037436
env_height,1.3635250396198058,1.2647388133009472,1.4605197054358192,1.559524517387821,1.6711635517305847,0.09687401420359236,1.4624382469726886,1.499190667018095,0.18138267928731036,0.09970303632572303
env_width,1.3232630175636086,1.3002916317676496,1.3457517325800932,1.3688834460363233,1.3927099019121656,0.022838650657969133,1.3458399465169215,1.3566388257744855,0.07770621814818005,0.023039887379797244
mode_width,-0.7763957147978707,-0.8515714419253289,-0.7167955979011496,-0.6570673439915844,-0.6058840635993142,0.05949263142859436,-0.7180897140016449,-0.7418435868185582,-0.3339225745893372,0.060413947810771966
teff,3.6890612888178738,3.686264977717393,3.6922538863196306,3.6964833760537767,3.7025872645700386,0.0035351034046937502,3.6927601919836723,3.6920784636107404,0.7422896555709669,0.0039050578152579735
bp_rp,1.1717187745820836,1.1208693375638126,1.2250371069995367,1.2811504603685822,1.3351592789307676,0.05508020072208195,1.2262073674739198,1.2286506545069757,0.046588047774374156,0.054049357809209074
