# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.238186812466270048e+00 2.352075726291726010e+00 1.375791683479848704e+00 3.436157540528056997e-01 -2.162670901782306032e+00 9.210649058721837035e-01 1.338059745607096618e+00 -7.164533611544259273e-01 3.700774250141293908e+00 1.201782738682443341e+00 -1.983009247053342051e+03 -3.621783391206734759e+00
1.220935515465936927e+00 2.345548234492630169e+00 1.363617884810959469e+00 3.165399120419332135e-01 -2.386190533567488448e+00 1.273701120353734728e+00 1.315865913549300936e+00 -8.671506444539044400e-01 3.702846579402337301e+00 1.222063210204159756e+00 -1.980311107523861892e+03 -4.155211384409194686e+00
1.237647712262131883e+00 2.355781368470788895e+00 1.365460875756615122e+00 3.297515491778744146e-01 -2.592047243772661158e+00 1.325130509376736043e+00 1.207514332907913213e+00 -8.454614224034876502e-01 3.703066561470071960e+00 1.295797999830512026e+00 -1.974522834204229639e+03 -9.883256637565290603e+00
1.240261264042019418e+00 2.346705088675468343e+00 1.323539797492061521e+00 3.726284534684660699e-01 -2.510204377291398004e+00 7.384377830186920066e-01 1.255362311627232552e+00 -6.946170553501584966e-01 3.697469545785533551e+00 1.258383757891592847e+00 -1.974191330807376971e+03 -5.971380639315687411e+00
1.220849680580902819e+00 2.345006323799592618e+00 1.352735653123868120e+00 3.124667032450486603e-01 -2.546459546227859860e+00 9.166543838386435050e-01 1.310705603976407563e+00 -7.345260948590534023e-01 3.704752134416433140e+00 1.242881158489376192e+00 -1.973621383036799216e+03 -2.545676583878390353e+00
1.220194581372075815e+00 2.349803787132998867e+00 1.365857055689861932e+00 2.927834436429488929e-01 -2.396426348713938115e+00 7.280925542208629420e-01 1.324688899286414978e+00 -8.263374135861811798e-01 3.705374572721618964e+00 1.243624570917049699e+00 -1.971093057066530037e+03 -2.702134177294319706e+00
1.244997629557380137e+00 2.356402281903732021e+00 1.317805740265783454e+00 3.738974081689039330e-01 -2.519390511501437668e+00 8.504355432616037547e-01 1.244999565525734431e+00 -8.481381766604606520e-01 3.705027039193211191e+00 1.276945547059522568e+00 -1.970040528774586392e+03 -8.694111317589742427e+00
1.221487664990922983e+00 2.339176593824499939e+00 1.359241239786514788e+00 3.370155811173600191e-01 -2.657685087004635793e+00 9.053251882023570785e-01 1.257783521062437071e+00 -8.118819455597954260e-01 3.699664062933773589e+00 1.234814213605536670e+00 -1.970033961418275339e+03 -3.552776477285316759e+00
1.221939352502260823e+00 2.345011737474526292e+00 1.335739664256472059e+00 3.227695165470707561e-01 -2.211049656745370129e+00 6.088268934826617240e-01 1.360375904875657405e+00 -6.494975095700940004e-01 3.698837545655553338e+00 1.179700608297018061e+00 -1.968871233159545909e+03 -2.208467281521681258e+00
1.203696503473238755e+00 2.342754982868255453e+00 1.368630932576142101e+00 2.528011142337351913e-01 -2.480419515393345264e+00 7.647901654793061166e-01 1.359238274047949835e+00 -7.749934911019799033e-01 3.710923922071160952e+00 1.173642992848051181e+00 -1.967786680210571149e+03 -5.606589671429079935e+00
1.220519018509203635e+00 2.346187435850483727e+00 1.357286088989452910e+00 3.142740992258952759e-01 -2.517092255138709156e+00 5.642563351388464321e-01 1.296924930027789857e+00 -8.287268720279211687e-01 3.703297575803902397e+00 1.275095311782324048e+00 -1.967258395319211331e+03 -8.422603105092338893e-01
1.223397033704326731e+00 2.349160661159146457e+00 1.326991972761057070e+00 3.879715790700142275e-01 -2.349534724384322981e+00 9.825102568022148208e-01 1.270011379952870278e+00 -8.209441959170507008e-01 3.701500997592066522e+00 1.223717414117111879e+00 -1.967183552794243951e+03 -2.738791545670585847e+01
1.221941540695210104e+00 2.345670209578204268e+00 1.350100871292067461e+00 3.375232519905740358e-01 -2.836284785879986003e+00 9.312576803878785947e-01 1.240413507379150015e+00 -7.717074973485466005e-01 3.697815443797938695e+00 1.223629302304284350e+00 -1.967165580332287846e+03 -6.027962373921805117e+00
1.206092449287477608e+00 2.341304302403190096e+00 1.362652450104906210e+00 2.875517425798548299e-01 -2.455906846325738080e+00 2.843621713354254066e-01 1.310591295202637729e+00 -7.727922768272537102e-01 3.705931169011925874e+00 1.155918513351157140e+00 -1.966779810134933086e+03 -2.961609061040109125e+00
1.240128420071286097e+00 2.349346371451381366e+00 1.369400659455143776e+00 3.515022326456868629e-01 -2.218327335073991158e+00 7.689309762445821761e-01 1.347475913318834539e+00 -7.066706122223730402e-01 3.697616264643397432e+00 1.289074281598791227e+00 -1.966458784032427957e+03 -6.091431371452488364e+00
1.220544869035767643e+00 2.351571567343168745e+00 1.379829949804678213e+00 2.820649473882796965e-01 -2.517610189052106762e+00 5.487956852269971764e-01 1.312163140654263760e+00 -8.332217474076183406e-01 3.708967205092859043e+00 1.206431248037572290e+00 -1.966065443512055026e+03 -4.288258748113324970e+00
1.221159525042569749e+00 2.349065058610761980e+00 1.335783212493417027e+00 3.188041973890911596e-01 -2.679667166399596567e+00 5.557354113883159474e-01 1.290499911266632438e+00 -7.157279530723704708e-01 3.703070576072010844e+00 1.286478412598286436e+00 -1.965401573733302030e+03 -4.140854244967266951e+00
1.222190784127821006e+00 2.346443038529804070e+00 1.340447095303194391e+00 3.355025983786747434e-01 -2.516484650053567584e+00 5.695638477792263066e-01 1.308296392988953505e+00 -8.080619352993251292e-01 3.702694937131746578e+00 1.295097550177837897e+00 -1.965372298924460210e+03 -3.378580193008899890e+00
1.241683633426423183e+00 2.349353079847871673e+00 1.330952759771786287e+00 3.293125831915043045e-01 -2.478199464956333475e+00 6.673576183072156276e-01 1.308782195660077807e+00 -7.787950080433667654e-01 3.708827817426552986e+00 1.186022210007745104e+00 -1.965265030442298894e+03 -1.108156445115725397e+01
1.222327444247812922e+00 2.345646938748073840e+00 1.324247354530321497e+00 3.300527266524734271e-01 -2.630837399453036074e+00 3.600202444699684423e-01 1.231818336954833004e+00 -7.735493710397890466e-01 3.703148633088964914e+00 1.252029018360419688e+00 -1.965232091364767030e+03 -4.472300956573576514e+00
1.221958492238940597e+00 2.341400379421716860e+00 1.344556315226476340e+00 3.181612400572007004e-01 -2.424688535957171709e+00 3.348062916270772571e-01 1.304509389150471765e+00 -8.213616283145587227e-01 3.704044777404834843e+00 1.205894643192435334e+00 -1.963975807658889380e+03 -2.286416248658785566e+00
1.242488323115321425e+00 2.341048318365098968e+00 1.379519900238469043e+00 3.848592751045901705e-01 -2.180639703529570372e+00 8.436178552458402091e-01 1.379802975757586481e+00 -7.230698266232551408e-01 3.698700243626114048e+00 1.387698017920931948e+00 -1.963780523211188211e+03 -2.133238327441901561e+01
1.220118294697888572e+00 2.348918346860295880e+00 1.361579012626966456e+00 3.113598519364386141e-01 -2.505511209695988395e+00 1.528183988968825624e-01 1.262926688533146935e+00 -8.156568457291308860e-01 3.707242933815310781e+00 1.307220660039157822e+00 -1.963426433300797498e+03 -3.718615517405704729e+00
1.233166687240694115e+00 2.344044504298457454e+00 1.352164828785844319e+00 3.507172900459851195e-01 -2.468547651385111674e+00 7.376526183773504108e-01 1.241909322992881259e+00 -8.591952992736970884e-01 3.702333913078355465e+00 1.328674254004161392e+00 -1.962760361928820885e+03 -3.454406420741575889e+00
1.221300716767561800e+00 2.347823762198553599e+00 1.368673369598778944e+00 3.191976865652277340e-01 -2.662407048850443658e+00 2.286805180821326888e-01 1.295230566508476677e+00 -8.241062428172699628e-01 3.704414543037565899e+00 1.243970358721889546e+00 -1.962392963242458109e+03 -1.548448398161789363e+00
1.240445850470914602e+00 2.352884281930053945e+00 1.365633033801087803e+00 3.537196318433766251e-01 -2.757284416009489370e+00 6.184800442260922626e-01 1.212957880792702392e+00 -8.054994426794148676e-01 3.701984322397912308e+00 1.293301105101455573e+00 -1.962387198619309856e+03 -4.963551807206920685e+00
1.209007619742745732e+00 2.345162006320520742e+00 1.399911258981796136e+00 2.711184565449125672e-01 -2.445765296142438761e+00 3.142765729870595215e-01 1.285282743278612028e+00 -7.632180725529192911e-01 3.708765564084344213e+00 1.140872465828054905e+00 -1.961919440452097660e+03 -7.657695301617149397e+00
1.237041479475960992e+00 2.342516661894178398e+00 1.356722687487631696e+00 3.734152374041854738e-01 -2.751929445288189502e+00 3.777936929651222742e-01 1.201732666370444624e+00 -7.479642347619077647e-01 3.710635380359644131e+00 1.136316104625522794e+00 -1.961902981090125877e+03 -9.914002011761976263e+00
1.223308737908769483e+00 2.352477565213545674e+00 1.376259959249123588e+00 3.085595367387877208e-01 -2.429477292398239285e+00 6.949364451580732904e-01 1.326563310539726537e+00 -6.824117462829747405e-01 3.705507111337721593e+00 1.254363562906117391e+00 -1.961734992059171645e+03 -4.526902391347000787e+00
1.255904098146606529e+00 2.350441576369037389e+00 1.367796735109067852e+00 4.037995649971756751e-01 -2.449370600360215811e+00 1.057883276499411718e+00 1.276951435200667007e+00 -8.604631155072556270e-01 3.694515442210856371e+00 1.293208605023535185e+00 -1.961654225601199869e+03 -6.335600320953285625e+00
1.223170949198061797e+00 2.345842871771343319e+00 1.379869888054655602e+00 3.232921606663234360e-01 -2.373806060002980001e+00 2.139181004443883871e-01 1.340739109087462744e+00 -6.682769861973193448e-01 3.708203304910040021e+00 1.193753896133758374e+00 -1.961293301590690135e+03 -4.176152461142048189e+00
1.222780413840782954e+00 2.347137543947071414e+00 1.373489909825006405e+00 3.178214883104092392e-01 -2.413665659787607165e+00 1.101667208410120613e-01 1.298640234687262973e+00 -7.735141108188029468e-01 3.710317579592124382e+00 1.156999106902029117e+00 -1.961066075803840704e+03 -3.002212816818289109e+00
1.207328077645045461e+00 2.347362662665409605e+00 1.368762553748300581e+00 2.860819265047081505e-01 -2.400298078331223106e+00 1.069753641307912506e+00 1.338729758796222802e+00 -7.697163493799641376e-01 3.697595765738558526e+00 1.178630691659430907e+00 -1.960650237619224299e+03 -3.991525636682170752e+00
1.224323621711696619e+00 2.343866661297378418e+00 1.357367307714681504e+00 3.265926046617005918e-01 -2.867337077366655773e+00 1.036234166747804553e+00 1.329257053025870716e+00 -8.530422268964147348e-01 3.696692484594094719e+00 1.189419847080390058e+00 -1.960467040446825195e+03 -1.200978966244003132e+01
1.222583517657508168e+00 2.349386258177821762e+00 1.334377644589293199e+00 3.368068627111018842e-01 -2.773768966530512969e+00 3.576707286139048092e-01 1.224790610165236604e+00 -7.897470914011551768e-01 3.701029872002213672e+00 1.301483995161524465e+00 -1.960241135240623862e+03 -5.321111346304026490e+00
1.223685835029799662e+00 2.351284893445163338e+00 1.367676216950360013e+00 3.231308909645340122e-01 -2.539860575908379658e+00 1.905504593894294940e-01 1.274367284582382798e+00 -8.575362449157907241e-01 3.693152811158884941e+00 1.338678959716660399e+00 -1.958924332271173171e+03 -6.597135564097055038e+00
1.219397436574400695e+00 2.347740246458831503e+00 1.372590501354811643e+00 3.079309470950246097e-01 -2.819712288085878260e+00 5.647407022221228035e-01 1.271732603762624869e+00 -8.249714252171286288e-01 3.703851125678832013e+00 1.257250509401091731e+00 -1.958689968948462820e+03 -2.012282131859070233e+00
1.228516030267377879e+00 2.345607726126380577e+00 1.339425515533058775e+00 3.324682577744161871e-01 -2.625336664917071960e+00 3.412915818744297614e-01 1.226327988256693535e+00 -7.735025273444872118e-01 3.702424422069440890e+00 1.257457494387222097e+00 -1.958548778294901012e+03 -4.129430713948018195e+00
1.208384005087942192e+00 2.344684867934002437e+00 1.325312308872318434e+00 2.877997570985367237e-01 -2.304020305252151068e+00 6.585933567766384389e-01 1.339838802891939906e+00 -7.501987562652658870e-01 3.697065257519925208e+00 1.197414361057285603e+00 -1.957928641353948478e+03 -4.396911234308197969e+00
1.224994023873130278e+00 2.346398147281915758e+00 1.342652697584991284e+00 3.421462683424617013e-01 -2.491586926476286656e+00 4.237628694218628644e-01 1.282962580584057877e+00 -7.438141597418541640e-01 3.705673397203745001e+00 1.192856578525789857e+00 -1.957844598061807119e+03 -2.500816733182360529e+00
1.221350172844548831e+00 2.341919087255905030e+00 1.387305582503272516e+00 3.353273563263727275e-01 -2.615213589899413549e+00 4.314438958291059723e-01 1.272576835749084534e+00 -8.801161443491477554e-01 3.701238404109203017e+00 1.340055362618878254e+00 -1.957559899363171098e+03 -4.963426113108685200e+00
1.227300649126002563e+00 2.352156164738260280e+00 1.374438702005541746e+00 3.213170818084796765e-01 -2.199458774459277954e+00 2.948288033809111086e-01 1.361036656020538249e+00 -6.776855213353707441e-01 3.703594522541474809e+00 1.162198510879699498e+00 -1.957552048519627306e+03 -2.073964105362468668e+00
1.228739723475611889e+00 2.349881316386923213e+00 1.330245632859809568e+00 3.185342093799665153e-01 -2.725496522858835924e+00 5.089373153073910583e-01 1.374488657327947783e+00 -7.723208233309429849e-01 3.699512909295959329e+00 1.295857094443631397e+00 -1.957328475585479282e+03 -1.728679106987997471e+01
