# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.230191239463886754e+00 2.353025709436558532e+00 1.346895184032757209e+00 3.220647473510839798e-01 -2.334871300906779634e+00 1.330206476071624122e+00 1.389067538784050537e+00 -7.057018563804235978e-01 3.702184535966691392e+00 1.133805730733152606e+00 -1.730864778009630072e+03 -6.134145549457548086e+00
1.229876541047787875e+00 2.348644009136748423e+00 1.353315474334010560e+00 3.227301828852112142e-01 -2.202589967228416601e+00 1.333940915227475266e+00 1.338152864887324878e+00 -6.907159540587501922e-01 3.701416854520155120e+00 1.182708769801359638e+00 -1.730060152418852340e+03 -5.155325878663433059e+00
1.230670237794176280e+00 2.349731962802023677e+00 1.335490554157251486e+00 3.617131522218613449e-01 -2.381874680958121271e+00 1.246833246521154459e+00 1.325030911700236125e+00 -6.370747373218339504e-01 3.699392640702666046e+00 1.087111125376185150e+00 -1.728898182406224350e+03 -9.370685432384151525e+00
1.230591018959556804e+00 2.344156319307429293e+00 1.339578314981563656e+00 3.543254287690758009e-01 -2.467493035847554417e+00 1.354736051334171965e+00 1.282095841862403995e+00 -7.230556010417784618e-01 3.700654773568525346e+00 1.267666037492109599e+00 -1.728693680006769000e+03 -6.528590624822570021e+00
1.229443748086879395e+00 2.345277186320486873e+00 1.371946044727899272e+00 3.407786428113297461e-01 -2.220592108142912746e+00 1.250879734222784201e+00 1.369984736484952892e+00 -7.216658115345468971e-01 3.701632480488195487e+00 1.097734326285279671e+00 -1.728673835365124887e+03 -5.963329987100177476e+00
1.230822120363858740e+00 2.347654468295517827e+00 1.327507419919127907e+00 3.396766746754946720e-01 -2.110130792642393338e+00 1.372173486934823883e+00 1.345450941744318341e+00 -7.841764985548844713e-01 3.698636204483846779e+00 1.190993336394749358e+00 -1.728636235458542615e+03 -5.182032427535800068e+00
1.230586198811706167e+00 2.353219719299243895e+00 1.334880476530538651e+00 3.166476950871131568e-01 -2.132330609045165914e+00 1.288853243671797211e+00 1.352089579046813039e+00 -6.608626004198379089e-01 3.695862718145811243e+00 1.275551290447475505e+00 -1.728410904577394831e+03 -9.253895280453610539e+00
1.231749366975049220e+00 2.354284006429603782e+00 1.304118276265879839e+00 3.458000701430549717e-01 -2.306669665616110088e+00 1.403439871431967578e+00 1.319772830425080867e+00 -6.976411018720761748e-01 3.698372590652703629e+00 1.305924120296187541e+00 -1.727742255125681822e+03 -1.019361739139864298e+01
1.230155628007166824e+00 2.347841565644219752e+00 1.353759080916783875e+00 3.545245610133159753e-01 -2.294603500268883600e+00 1.295943443025270314e+00 1.352270323012455311e+00 -7.169742002007216675e-01 3.699302808699788780e+00 1.102387042041034881e+00 -1.727474307737341405e+03 -6.552446590966181539e+00
1.231078820939510488e+00 2.352715008843161204e+00 1.321961735571898444e+00 3.433984350982709488e-01 -2.129236995943360800e+00 1.315658152550182480e+00 1.341669085709823017e+00 -7.354825364074439875e-01 3.698170255903145520e+00 1.252611257037909320e+00 -1.727437499577870540e+03 -5.441489679236964250e+00
1.230378390893854368e+00 2.352672895902319983e+00 1.344668203846681731e+00 3.486608337801715973e-01 -2.183640789854265130e+00 1.202305275040816079e+00 1.353666996729822714e+00 -6.641968249600501695e-01 3.698233171827101096e+00 1.155585529054157012e+00 -1.727401803498800973e+03 -4.590807197578168797e+00
1.229916718934755293e+00 2.350101559156174247e+00 1.356268080382515340e+00 3.457132655425647627e-01 -2.327941800646788906e+00 1.157473034956188584e+00 1.355224845563577363e+00 -6.084153041339392942e-01 3.704694987686560470e+00 1.182915421203337702e+00 -1.727371868770351966e+03 -8.240199039678904214e+00
1.230471546337732924e+00 2.351966635731787214e+00 1.341018675183194953e+00 3.542293299149429364e-01 -2.269638813918235520e+00 1.409485314954270097e+00 1.349841247290481938e+00 -8.197127913345054750e-01 3.701283214838156255e+00 1.214978733576637770e+00 -1.727357609031864740e+03 -8.579250394678753722e+00
1.230148682864611098e+00 2.348623606483221771e+00 1.345743617308801543e+00 3.449917015231698247e-01 -2.226316071346214898e+00 1.232475507295450523e+00 1.369212046671215433e+00 -6.481240337846404520e-01 3.697205650401084842e+00 1.173382969690447641e+00 -1.727217132802939432e+03 -4.730443456088574194e+00
1.230254965886362628e+00 2.345471558394638389e+00 1.347195398929797783e+00 3.422848434762513214e-01 -2.204600796522918849e+00 1.218910090963646553e+00 1.339887900378252228e+00 -7.083802184375260769e-01 3.694867053990498196e+00 1.236901450826167981e+00 -1.727176963050258792e+03 -4.332353049964018155e+00
1.229966939853957664e+00 2.349128592789802905e+00 1.356818159014522962e+00 3.361049768889821099e-01 -2.199926437513865629e+00 1.368669420077061272e+00 1.281843367479732487e+00 -7.088100629388581764e-01 3.695982166586341489e+00 1.322124892152404696e+00 -1.726946744805313301e+03 -9.874601759591630668e+00
1.230070306290230731e+00 2.347247832846269144e+00 1.353902251297849357e+00 3.396355549204341240e-01 -2.486934664696186736e+00 1.281763716003712972e+00 1.327944289698807401e+00 -6.925696851305110924e-01 3.696527790078926845e+00 1.238103865813836579e+00 -1.726830737325017253e+03 -5.997013546510975956e+00
1.230106252341410356e+00 2.350103260782371972e+00 1.352129665601709441e+00 3.382010522951564568e-01 -2.459156528445880507e+00 1.392618483747813940e+00 1.301311245513214976e+00 -7.093314343396154298e-01 3.699196017917433910e+00 1.186978873370329479e+00 -1.726770082852408677e+03 -4.765922266408479047e+00
1.230235992364059117e+00 2.344221979303282577e+00 1.347167030438901181e+00 3.407764076584839374e-01 -2.303205608708162710e+00 1.387737487868247355e+00 1.353215825220061230e+00 -7.725390652727931462e-01 3.700142250983575742e+00 1.158858333477323255e+00 -1.726758109647604897e+03 -5.023739805707776895e+00
1.230213271740260961e+00 2.343863265289749975e+00 1.351811373709390418e+00 3.384040682945642642e-01 -2.301799281496101912e+00 1.283782409759752996e+00 1.345093863820382207e+00 -6.591270509805771116e-01 3.700674876483101894e+00 1.191169014357855271e+00 -1.726680746866971504e+03 -6.199630045153084801e+00
1.230637413633575150e+00 2.346659192237820601e+00 1.337236023508234561e+00 3.512750961256023707e-01 -2.494071791613560851e+00 1.286184213100167506e+00 1.323951179852131732e+00 -6.858540177821134121e-01 3.692633413108414864e+00 1.209533442863326425e+00 -1.726531112228966322e+03 -7.565743862537792630e+00
1.230467308640278645e+00 2.353181694213177799e+00 1.338751213609337132e+00 3.388279307860705414e-01 -2.334328832313684821e+00 1.229942760406492308e+00 1.354261288554253317e+00 -6.336008649779163449e-01 3.695758178076952838e+00 1.172048538244977456e+00 -1.726518143515276506e+03 -5.772717588683250689e+00
1.230143509509425082e+00 2.344692046842978606e+00 1.350928076186815874e+00 3.620049792466799587e-01 -2.241257620021166463e+00 1.241712408396951073e+00 1.343260448156042397e+00 -7.471645759022335076e-01 3.694650934228367767e+00 1.286822730430027262e+00 -1.726472856955737598e+03 -6.839285440011341421e+00
1.229921100522124444e+00 2.353554399157428811e+00 1.351594378513681916e+00 3.235171810252445157e-01 -2.136320444906186111e+00 1.344958931030052929e+00 1.375498199759991547e+00 -6.515544885752236892e-01 3.694931546961619073e+00 1.188889373728021503e+00 -1.726159511103831846e+03 -6.239953060104049598e+00
