name,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
l0[0],143.01,0.523,142.076,144.001,0.013,0.009,1567.0,1567.0,1557.0,644.0,1.0
l0[1],159.603,0.458,158.78,160.462,0.012,0.009,1422.0,1420.0,1452.0,670.0,1.01
l0[2],176.337,0.133,176.081,176.53,0.006,0.004,493.0,493.0,950.0,504.0,1.01
l0[3],192.93,0.061,192.812,193.051,0.002,0.001,856.0,856.0,930.0,384.0,1.0
l0[4],210.01,0.051,209.912,210.105,0.001,0.001,1198.0,1198.0,1290.0,624.0,1.0
l0[5],226.798,0.044,226.708,226.877,0.001,0.001,1665.0,1665.0,1649.0,749.0,1.0
l0[6],243.73,0.128,243.484,243.965,0.004,0.003,1135.0,1135.0,1168.0,434.0,1.0
l0[7],261.091,0.086,260.931,261.253,0.003,0.002,933.0,932.0,1126.0,556.0,1.01
l2[0],140.819,0.526,139.831,141.722,0.012,0.009,1869.0,1869.0,1906.0,521.0,1.01
l2[1],157.288,0.522,156.265,158.209,0.015,0.011,1216.0,1214.0,1286.0,790.0,1.0
l2[2],174.047,0.146,173.768,174.299,0.005,0.004,738.0,738.0,981.0,514.0,1.0
l2[3],190.712,0.325,190.306,191.421,0.02,0.014,265.0,265.0,325.0,462.0,1.01
l2[4],207.691,0.092,207.543,207.891,0.003,0.002,1174.0,1174.0,1237.0,515.0,1.0
l2[5],224.608,0.098,224.451,224.803,0.003,0.002,1077.0,1077.0,1096.0,817.0,1.0
l2[6],241.58,0.102,241.42,241.802,0.004,0.003,814.0,814.0,890.0,760.0,1.0
l2[7],258.919,0.463,258.002,259.539,0.058,0.042,63.0,63.0,91.0,346.0,1.0
width0[0],0.34,0.398,0.012,1.075,0.013,0.011,871.0,628.0,1785.0,595.0,1.0
width0[1],0.404,0.468,0.005,1.176,0.014,0.011,1073.0,965.0,1287.0,704.0,1.0
width0[2],0.284,0.191,0.03,0.607,0.005,0.004,1295.0,1029.0,1409.0,750.0,1.0
width0[3],0.229,0.09,0.092,0.401,0.003,0.002,750.0,706.0,776.0,721.0,1.0
width0[4],0.139,0.064,0.039,0.259,0.002,0.001,986.0,926.0,968.0,536.0,1.0
width0[5],0.217,0.081,0.089,0.356,0.002,0.002,1065.0,823.0,1131.0,619.0,1.0
width0[6],0.225,0.098,0.066,0.419,0.003,0.002,904.0,904.0,779.0,367.0,1.0
width0[7],0.238,0.152,0.056,0.514,0.007,0.005,518.0,434.0,783.0,451.0,1.01
width2[0],0.364,0.473,0.015,1.03,0.016,0.012,854.0,783.0,1826.0,701.0,1.01
width2[1],0.355,0.652,0.005,1.029,0.031,0.022,445.0,441.0,1011.0,493.0,1.0
width2[2],0.554,0.291,0.099,1.067,0.011,0.008,708.0,677.0,683.0,588.0,1.0
width2[3],0.228,0.182,0.008,0.552,0.007,0.005,782.0,705.0,785.0,480.0,1.0
width2[4],0.387,0.13,0.146,0.609,0.005,0.003,777.0,752.0,794.0,606.0,1.0
width2[5],0.288,0.123,0.082,0.509,0.004,0.003,816.0,770.0,823.0,592.0,1.0
width2[6],0.292,0.152,0.049,0.565,0.005,0.004,821.0,820.0,836.0,702.0,1.0
width2[7],0.147,0.125,0.02,0.372,0.004,0.003,895.0,833.0,1047.0,723.0,1.0
height0[0],0.053,0.022,0.02,0.093,0.001,0.0,1458.0,1136.0,1533.0,661.0,1.0
height0[1],0.524,0.212,0.213,0.905,0.005,0.004,1689.0,1349.0,1775.0,584.0,1.0
height0[2],3.2,1.192,1.111,5.26,0.037,0.028,1035.0,879.0,1074.0,667.0,1.0
height0[3],11.558,4.136,5.47,19.092,0.137,0.108,912.0,728.0,1150.0,681.0,1.0
height0[4],19.395,7.306,8.804,34.433,0.207,0.153,1241.0,1142.0,1259.0,755.0,1.0
height0[5],29.155,9.936,12.362,46.888,0.276,0.212,1292.0,1100.0,1468.0,788.0,1.0
height0[6],13.727,5.626,5.377,23.39,0.178,0.156,1002.0,652.0,1469.0,676.0,1.01
height0[7],5.758,2.3,2.204,9.971,0.063,0.049,1351.0,1097.0,1487.0,828.0,1.01
height2[0],0.037,0.015,0.017,0.066,0.0,0.0,1714.0,1297.0,1844.0,723.0,1.0
height2[1],0.355,0.147,0.113,0.606,0.004,0.004,1251.0,839.0,1649.0,646.0,1.0
height2[2],2.656,0.966,1.135,4.38,0.028,0.02,1227.0,1160.0,1031.0,768.0,1.0
height2[3],6.213,2.614,2.388,11.206,0.069,0.058,1439.0,1028.0,1792.0,543.0,1.0
height2[4],14.956,5.117,6.922,24.412,0.165,0.121,966.0,897.0,1002.0,749.0,1.0
height2[5],15.767,5.966,7.039,28.549,0.217,0.186,758.0,518.0,854.0,395.0,1.0
height2[6],10.896,4.364,4.086,18.832,0.119,0.092,1343.0,1134.0,1347.0,597.0,1.0
height2[7],3.653,1.477,1.276,6.355,0.043,0.035,1187.0,890.0,1502.0,658.0,1.0
back[0],0.933,0.159,0.659,1.225,0.004,0.003,1405.0,1115.0,1625.0,614.0,1.0
back[1],1.013,0.183,0.686,1.365,0.005,0.004,1188.0,1054.0,1254.0,709.0,1.0
back[2],0.815,0.278,0.299,1.283,0.011,0.009,641.0,528.0,780.0,634.0,1.0
back[3],0.89,0.263,0.361,1.327,0.01,0.007,739.0,739.0,739.0,807.0,1.0
back[4],0.773,0.284,0.283,1.303,0.009,0.007,1075.0,928.0,1077.0,679.0,1.01
back[5],0.998,0.355,0.392,1.673,0.011,0.007,1143.0,1143.0,1088.0,788.0,1.0
back[6],0.849,0.319,0.313,1.442,0.011,0.008,778.0,728.0,784.0,743.0,1.0
back[7],0.858,0.193,0.531,1.232,0.007,0.005,797.0,780.0,812.0,670.0,1.01
