,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,0.6118502831130761,0.6113234471623509,0.6123810556136595,0.612952909543327,0.6138102009608725,0.0005410773368268567,0.6124140099932569,0.6125981460337907,0.4706709166138848,0.0005998939918009734
numax,1.6110361978299377,1.6073341450026641,1.6127301027394019,1.6147436924144494,1.6168924161419378,0.0018732621024398501,1.6127460960660722,1.6136287512691578,-0.4759891609225587,0.0021360314993514027
eps,0.9388918381472444,0.8088225784645232,0.9561127720420262,0.968781559642662,0.9807624396759896,0.01368116601199262,0.9439332762861007,0.9527685645048183,-2.3310810286249883,0.04209880680397246
d02,-0.30209158113518936,-0.31625963451078654,-0.2923361441426564,-0.2829674886103469,-0.27078792468407215,0.00941118766820591,-0.2924401432078003,-0.2902247941074688,-0.08105070060160544,0.011405428069684793
alpha,-1.9322196537645628,-2.1753636156326426,-1.8703547080861171,-1.8133923222600226,-1.7687031690389692,0.058143290228499615,-1.8839531804537781,-1.8605487345612437,-2.095203639678536,0.08845168617538675
env_height,0.8104927749367903,0.40417086911403144,0.8759249375543516,0.9260139822372973,0.9740388529300463,0.05492497634305085,0.8358942648118733,0.8585667150316347,-2.137196721944948,0.1433923754948082
env_width,0.7758146689783797,0.7550226022257197,0.8002086633083916,0.8246081601635994,0.8496375665356104,0.024514384614930388,0.8004558252902715,0.8118836712629152,0.10074852841351452,0.024144385719534017
mode_width,-1.030854896357246,-1.061928660472713,-0.9975740125858923,-0.9535643398635258,-0.8388116829775126,0.0359939498999328,-0.9867000661194354,-0.9920187823373264,1.6093287966628855,0.054720551041813836
teff,3.6718960084656684,3.6690172682322406,3.674793678771205,3.6780786741552474,3.6821781422271798,0.0030264449190896396,3.6749706014335706,3.6748187656502567,0.35476294815359444,0.003209027878227368
bp_rp,1.3820077043970602,1.3435645612756129,1.4219993146406313,1.4612411503171177,1.5021147760165483,0.0392131726555041,1.4218745933042332,1.4284250283757505,0.01811147140481282,0.03967755824076585
