,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,1.1773071695838992,1.176879499532072,1.1777495039742414,1.178200578541391,1.1789534452126207,0.00044263546994589647,1.1777707064018288,1.1777308312373038,0.7988854801802524,0.0005001088117476078
numax,2.2714298354129183,2.2656926038680405,2.2769981251242206,2.2818843860173086,2.286795925661706,0.005295115511272737,2.2767293693042268,2.27620914241232,-0.2079666710255006,0.005293663630836239
eps,1.3002970268891882,1.2794566624450074,1.3132394435663872,1.3257512465029424,1.3376055477839497,0.012790986637253704,1.3125090210433812,1.314611175501208,-0.7451549785504631,0.014144719064868881
d02,0.26020540149267346,0.2525955404692229,0.26700640522198366,0.2746753640066621,0.3044785675053276,0.0070791019527654524,0.26829294294010375,0.26743774996763325,1.9769016569383409,0.010553975850371359
alpha,-2.5583040445845553,-2.7170985430623387,-2.409289318526978,-2.267083763423308,-2.1402002541589598,0.14740409506785576,-2.4126851180830093,-2.4283618686509074,-0.21718380713755198,0.14636921625233038
env_height,0.6820378354793251,0.5704932077911664,0.8229888475053433,0.9288325624311766,1.025346752696945,0.12579051677286895,0.8103888561793446,0.8712139276008392,-0.21221355264343197,0.11883160329825147
env_width,1.1791376026837177,1.1458170858192214,1.2143124501267129,1.2590858781615755,1.2974264182798547,0.04052251655907956,1.2176364355630733,1.202342069811824,0.21556542732898565,0.038639901290708656
mode_width,-0.9016145900208122,-0.9587832185402526,-0.8377851778187718,-0.7467329385962692,-0.6838611640063849,0.07706997346007545,-0.829081022931406,-0.886087821327457,0.20937398436691176,0.07335102309496212
teff,3.69374493913541,3.689696514621859,3.6990258645111256,3.7056435569695947,3.7108238691704445,0.006098370244779688,3.6994967742236256,3.693369669297408,0.25466136389635524,0.005598589689458862
bp_rp,1.2193435862053834,1.1477266050888664,1.2862542320738737,1.356004406385326,1.4233648000450319,0.06859651622297512,1.2867000554435537,1.2952551383278803,-0.01337745612202669,0.0685127138940185
