,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
l0__0,140.60231591986027,0.47194104954922333,0.011422188953970989,139.67237621985103,141.41908096581477,1699.1219825328135,0.9995417944815473
l0__1,155.2631038061416,0.3743678024196025,0.014186219636802694,154.55659136002666,156.0322970151493,665.1058150885723,1.000761512052461
l0__2,170.35413389020172,0.05176580428628553,0.0016023076267333732,170.2436123742958,170.44443878048773,1317.7008250801414,0.9992144848672768
l0__3,185.41453871168858,0.04303747244171708,0.0013167354989755057,185.31816489718855,185.49800077288404,1113.615407220548,0.9990025813656852
l0__4,200.42605847291276,0.05185470875633225,0.0017166183915288669,200.3250242509384,200.5206270938012,750.9051017828865,0.9990022699174393
l0__5,215.75924869394012,0.3448294793216307,0.019237173920440186,214.9514903771035,216.4583773908647,264.10369059675077,1.0011515892722858
l0__6,230.96129382289752,0.4035020669493677,0.014962634679033904,230.07090666239606,231.70020606717137,648.0135355955565,1.0004382855617822
l2__0,138.6970420516359,0.4863242511613534,0.012515320139563298,137.80560367595746,139.65619684094023,1551.239508672043,0.9990474859895067
l2__1,153.87794307212798,0.4336009044261452,0.022827491254004136,152.79279983885723,154.50120561856704,281.45646724769273,1.0012339890047444
l2__2,168.47937622468385,0.3890967318872129,0.024871515330886985,167.4900637901833,169.22766334414126,159.30454960727315,0.9990389528353836
l2__3,183.61308516784908,0.022678639372795305,0.0007825199065864066,183.56704526456562,183.65949629042706,871.080191327229,0.9994002435651843
l2__4,198.51302178892968,0.178066404068662,0.012430069451784577,198.2472187608982,198.80037820144722,90.15845707007786,1.0054325570653762
l2__5,213.64982433786201,0.3607322023132664,0.02401360851898752,212.7744187438551,214.33565450063534,175.27403043072897,1.000472025768706
l2__6,228.93212576571779,0.47578963951168013,0.013993710334761936,227.97980657800403,229.77125745539874,1080.653447901932,0.9990098673693714
width0__0,0.2369810563569722,0.44729073906183475,0.015294391318496225,0.0093368473910285,0.6870385984971116,807.6026909184169,1.0015831562328568
width0__1,0.35622613006252285,0.41648535845564333,0.013105860350453085,0.004325161297472169,1.181206152923172,798.3136875920839,0.9992584341481411
width0__2,0.1894623846261806,0.0804649550276615,0.0029013999067260174,0.0351380605862871,0.34342472832190984,826.89704896238,0.9991722605448359
width0__3,0.16074059924576006,0.06359360568491505,0.002219523045534112,0.06646978988668449,0.2890708249148754,649.3033152528943,0.999098008770439
width0__4,0.14572909354104352,0.06285345264568354,0.0020846361363323993,0.0413613600901579,0.27384812210053394,761.3736913251672,0.9994907878656615
width0__5,0.1435725805009975,0.15589904694081785,0.007453342104255467,0.007621114251550884,0.4109695884310271,236.87173827300862,1.019704508914329
width0__6,0.3156120992621243,0.35922573181692685,0.011133089880395425,0.010327076500017893,0.9533761633292008,1017.9022987187922,0.999087675380813
width2__0,0.2625579911429554,0.3539730206580572,0.011181703730293358,0.007454842609027661,0.8610937422945694,928.2349354463178,0.9996506967193907
width2__1,0.24375562359991806,0.294811707475773,0.011168732591892504,0.002888219579439262,0.7686758682138431,712.5457833698606,1.0026881062888473
width2__2,0.10853126154436755,0.09080005577674273,0.0033136197007914655,0.007090998956558172,0.26082817713552303,738.530669243868,1.0000824671559527
width2__3,0.0916641865412176,0.061334109103390405,0.002382922104458755,0.011998264176786228,0.21651392993673052,594.0223656137773,0.9991114419810561
width2__4,0.17494950416866586,0.13559510652371798,0.005758006093860068,0.01194972812083212,0.44875157787203784,368.81614086885656,1.001487341879107
width2__5,0.146875315960536,0.13482401130525404,0.004474064216593325,0.010734317047158182,0.40086722300709493,807.1213085130488,0.9990037780966018
width2__6,0.21852866368701773,0.3895545437207355,0.017494089495410817,0.007985912727295439,0.6488384341738003,453.7496927101261,1.0019436045065842
height0__0,0.08561640499760159,0.03513289664971346,0.0010000899899661043,0.031105554973041426,0.15740264019778674,1117.2198847412428,0.9990958335823169
height0__1,0.7763524674886025,0.3102612709501103,0.010228427341814622,0.2925331613237622,1.4260032097900575,922.9546688060311,0.9990652788786577
height0__2,3.5482244946390007,1.187990823277344,0.03588283322532698,1.5652568381110872,6.014977413245399,864.3065762637484,1.002010444894108
height0__3,6.441009476341149,2.2858553333685205,0.07171314525647196,2.4234238219526123,10.551722458083715,789.0591861894197,1.0016397757856876
height0__4,4.932720340573189,1.7542555793176053,0.05490658806197555,1.975640719906729,8.31437944000824,1147.4043075114714,0.999174563387264
height0__5,1.7055802898441714,0.7116488020649109,0.025149309396079324,0.5589951425999907,3.0562604900184875,683.3055347825466,1.0072103458186148
height0__6,0.32612303916116353,0.1269904361511158,0.0037015371212316016,0.11077965839402108,0.5720729434818775,975.5236679817563,1.0005000584387909
height2__0,0.059664919096567924,0.02435120135069147,0.0007416273986498051,0.023078756358186788,0.10709108926020039,1123.910955699108,1.0000822524757953
height2__1,0.5866785808320496,0.2273671871517919,0.007480174608342249,0.22499929962333187,1.0757126086780697,989.3013992242326,1.0009273737013489
height2__2,2.0618195316885535,0.7642066444769579,0.0226589259541606,0.8734455642183859,3.6346048716948456,1351.114118081478,1.0009044829629024
height2__3,5.125886483308177,1.9114905163423013,0.056420296239858406,1.8398125462742123,8.721011960213035,1181.554857211155,1.000447539006301
height2__4,3.25737035359883,1.3188587793844713,0.04187535809589597,1.4101929449689978,6.067801299911417,813.4364482532934,0.9990503348763105
height2__5,1.3027441314137187,0.5110622528802818,0.015676604988034935,0.48987535701407614,2.2625561975731703,932.952211887303,1.0004719555186297
height2__6,0.2052959251556525,0.08715111280321473,0.0028915814636204457,0.07906506713107399,0.39913426328118945,870.7496096520729,0.9990175081785176
back__0,0.9755547286808474,0.09196345902522796,0.002132519285103141,0.8104411282910052,1.170630195502381,1711.2587103897856,0.9991723999750666
back__1,0.881067000133882,0.1433398546212413,0.005470195277310832,0.5645936369583379,1.1473452664841124,656.5234103866111,1.0007294962592599
back__2,0.9207046771341298,0.12326019177983111,0.0043439629387547534,0.6696416792976183,1.1417273950581877,473.81323994582453,1.0003464894338279
back__3,1.0249378166976255,0.14003793706504075,0.0038752229647824018,0.731311904856602,1.2898884959775558,1099.8714215448424,0.9992843620360828
back__4,1.1027360718200867,0.17144694567407656,0.007061289005715879,0.7580595535699507,1.4076066869872872,371.04118403550984,1.0020742676261072
back__5,1.0110829124173288,0.1187191948640947,0.004098318191814132,0.7980864756099608,1.2588213706317044,626.0682386730966,1.000996147472807
back__6,1.202600369066716,0.12723308084474866,0.0038894194562074935,0.9479827905074522,1.4476899634122022,1046.4846580423248,0.9993445290668304
