ID,error_flag
KIC757137,-1
KIC892010,-1
KIC892738,-1
KIC892760,-1
KIC893214,-1
KIC893233,-1
KIC1026084,-1
KIC1026180,-1
KIC1026309,-1
KIC1026326,-1
KIC1026452,-1
KIC1027110,-1
KIC1027337,-1
KIC1027582,-1
KIC1028267,-1
KIC1160684,-1
KIC1160789,-1
KIC1161447,-1
KIC1161618,-1
KIC1162220,-1
KIC1162746,-1
KIC1163114,-1
KIC1163359,-1
KIC1163453,-1
KIC1163621,-1
KIC1164301,-1
KIC1164584,-1
KIC1292147,-1
KIC1294122,-1
KIC1294385,-1
KIC1294578,-1
KIC1294924,-1
KIC1295017,-1
KIC1295475,-1
KIC1296068,-1
KIC1296179,-1
KIC1296507,-1
KIC1297272,-1
KIC1429497,-1
KIC1429505,-1
KIC1429629,-1
KIC1430118,-1
KIC1430912,-1
KIC1430985,-1
KIC1431059,-1
KIC1431316,-1
KIC1432587,-1
KIC1432825,-1
KIC1433132,-1
KIC1433593,-1
KIC1433730,-1
KIC1433803,-1
KIC1434395,-1
KIC1435573,-1
KIC1569823,-1
KIC1569842,-1
KIC1571780,-1
KIC1572049,-1
KIC1572175,-1
KIC1572317,-1
KIC1572780,-1
KIC1573925,-1
KIC1575886,-1
KIC1576043,-1
KIC1576420,-1
KIC1576469,-1
KIC1576646,-1
KIC1577143,-1
KIC1701763,-1
KIC1717618,-1
KIC1717783,-1
KIC1717994,-1
KIC1718743,-1
KIC1719065,-1
KIC1719297,-1
KIC1719422,-1
KIC1720241,-1
KIC1720425,-1
KIC1721071,-1
KIC1721595,-1
KIC1723047,-1
KIC1723191,-1
KIC1723656,-1
KIC1723700,-1
KIC1723752,-1
KIC1723843,-1
KIC1725183,-1
KIC1725190,-1
KIC1725552,-1
KIC1725626,-1
KIC1725796,-1
KIC1725952,-1
KIC1726211,-1
KIC1726245,-1
KIC1726291,-1
KIC1849462,-1
KIC1849679,-1
KIC1850285,-1
KIC1864183,-1
KIC1864855,-1
KIC1864959,-1
KIC1865102,-1
KIC1865262,-1
KIC1865595,-1
KIC1865744,-1
KIC1865747,-1
KIC1866137,-1
KIC1867706,-1
KIC1868101,-1
KIC1868303,-1
KIC1870196,-1
KIC1870433,-1
KIC1870495,-1
KIC1870714,-1
KIC1871314,-1
KIC1871465,-1
KIC1871571,-1
KIC1871631,-1
KIC1871927,-1
KIC1872166,-1
KIC1872210,-1
KIC1872375,-1
KIC1872421,-1
KIC1872469,-1
KIC1872517,-1
KIC1872842,-1
KIC1872869,-1
KIC1873198,-1
KIC1873204,-1
KIC1873510,-1
KIC1873898,-1
KIC1873986,-1
KIC1995358,-1
KIC1995522,-1
KIC1995668,-1
KIC1995859,-1
KIC1996078,-1
KIC1996415,-1
KIC1996818,-1
KIC2010137,-1
KIC2010138,-1
KIC2010366,-1
KIC2010702,-1
KIC2010855,-1
KIC2011048,-1
KIC2011314,-1
KIC2011582,-1
KIC2011675,-1
KIC2011827,-1
KIC2011883,-1
KIC2011891,-1
KIC2012065,-1
KIC2012216,-1
KIC2012932,-1
KIC2013502,-1
KIC2013530,-1
KIC2014377,-1
KIC2014684,-1
KIC2015820,-1
KIC2016676,-1
KIC2016706,-1
KIC2016978,-1
KIC2017541,-1
KIC2018007,-1
KIC2018283,-1
KIC2018392,-1
KIC2018537,-1
KIC2018585,-1
KIC2018642,-1
KIC2018667,-1
KIC2019109,-1
KIC2019258,-1
KIC2019396,-1
KIC2019959,-1
KIC2020280,-1
KIC2020383,-1
KIC2020876,-1
KIC2021216,-1
KIC2140446,-1
KIC2140982,-1
KIC2141255,-1
KIC2141413,-1
KIC2141436,-1
KIC2141928,-1
KIC2141932,-1
KIC2142095,-1
KIC2142280,-1
KIC2142405,-1
KIC2142508,-1
KIC2142628,-1
KIC2142675,-1
KIC2155148,-1
KIC2155220,-1
KIC2155506,-1
KIC2155869,-1
KIC2156074,-1
KIC2156155,-1
KIC2156178,-1
KIC2156988,-1
KIC2157059,-1
KIC2157650,-1
KIC2157725,-1
KIC2157928,-1
KIC2157964,-1
KIC2158410,-1
KIC2158815,-1
KIC2159728,-1
KIC2159864,-1
KIC2160161,-1
KIC2160572,-1
KIC2160779,-1
KIC2160901,-1
KIC2160910,-1
KIC2161407,-1
KIC2161409,-1
KIC2161731,-1
KIC2161831,-1
KIC2162486,-1
KIC2163121,-1
