# nu h lw logL logPrior
1.135328622642392133e+02 1.933323469368627556e+01 2.589979213701076866e-03 -2.717560764212123047e+13 0.000000000000000000e+00
1.175397953986954604e+02 5.102609738477311652e+01 1.881063953191070004e-03 -4.299004831398451660e+12 0.000000000000000000e+00
1.004380440710608013e+02 8.316080614665652604e+01 1.896028362910984200e-02 -5.266482631400537872e+10 0.000000000000000000e+00
1.134919493198516136e+02 8.193502133372925300e+01 3.828533189220238719e-02 -1.886156618526013184e+10 0.000000000000000000e+00
1.027902237200531630e+02 6.118481591667191566e+01 1.517052984135647264e-02 -1.775550048463119888e+10 0.000000000000000000e+00
1.098446561940585013e+02 6.142120011012472958e+01 8.897919698903071495e-03 -1.287829649777957916e+10 0.000000000000000000e+00
1.134105153326212161e+02 7.231336569183096685e+01 2.100145190101636306e-02 -1.020931326349915504e+10 0.000000000000000000e+00
1.156633301171856516e+02 8.425833197545074427e+01 3.686351824038425207e-02 -7.848328290414546013e+09 0.000000000000000000e+00
1.193621296618892984e+02 7.474398622498399902e+01 5.573976948846944002e-02 -3.818738673507655144e+09 0.000000000000000000e+00
1.020052338395483815e+02 2.874051284546075635e+01 5.389843000916449967e-02 -8.712421557588582039e+08 0.000000000000000000e+00
1.130406069028106657e+02 1.102732245734715910e+01 3.228062682604315725e-02 -5.967879775508311987e+08 0.000000000000000000e+00
1.193888472601857416e+02 6.985331237642064650e+01 1.287982740284352445e-01 -2.867742914565389156e+08 0.000000000000000000e+00
1.094934904095806871e+02 7.851061471972724348e+01 1.391043908218450587e-01 -2.863349637792107463e+08 0.000000000000000000e+00
1.143471658277639875e+02 2.513959241578962178e+01 6.774998461556891449e-02 -2.594840578048116565e+08 0.000000000000000000e+00
1.179330446528008451e+02 2.612722481955271192e+01 6.971056428463340282e-02 -2.548684720019565523e+08 0.000000000000000000e+00
1.044592918883687673e+02 7.531650473473123952e+01 1.422554815610935497e-01 -2.475239899932653904e+08 0.000000000000000000e+00
1.125561413625116245e+02 8.004198761654929228e+01 1.518778914522106449e-01 -2.288855645936523676e+08 0.000000000000000000e+00
1.149256003564650541e+02 5.702554235692738160e+01 1.271798520493953588e-01 -1.980753654758326411e+08 0.000000000000000000e+00
1.155857311121662292e+02 7.524798701412591129e+01 1.547777526302487883e-01 -1.915616463047226071e+08 0.000000000000000000e+00
1.129321094678836488e+02 3.375359041972738083e+01 9.414504012735713800e-02 -1.776556077672207952e+08 0.000000000000000000e+00
1.178621517278620416e+02 4.468192702713400877e+01 1.241924527844197601e-01 -1.300580203999956399e+08 0.000000000000000000e+00
1.065274793027445526e+02 2.432802221954187516e+01 8.341394701199433825e-02 -1.291349512988573313e+08 0.000000000000000000e+00
1.156186161015355367e+02 3.044796366905074336e+01 9.932123282414206944e-02 -1.157170614306538850e+08 0.000000000000000000e+00
1.198587402636013763e+02 1.933736897747295558e+01 7.498510096236241096e-02 -1.155874821616915911e+08 0.000000000000000000e+00
1.162239046006231433e+02 5.182842259277745001e+01 1.446983989230222756e-01 -1.110063665454432815e+08 0.000000000000000000e+00
1.180878224764679771e+02 8.324392826544250568e+01 2.356495054267084277e-01 -6.636792962551645935e+07 0.000000000000000000e+00
1.193567374805863182e+02 6.313259901553696807e+01 2.030732805256343088e-01 -5.961633835780569911e+07 0.000000000000000000e+00
1.145158623181541486e+02 7.808680057374073158e+01 2.466089913988382953e-01 -5.089173756899204105e+07 0.000000000000000000e+00
1.158302587420872101e+02 6.544918620805422904e+01 2.282928373939474009e-01 -4.509847821347718686e+07 0.000000000000000000e+00
1.048223661854473789e+02 2.780841985996995547e+01 1.344643332629207322e-01 -3.982862273594982922e+07 0.000000000000000000e+00
1.165920173696990219e+02 5.046399541369589059e+01 2.119413992838672656e-01 -3.351325106279647723e+07 0.000000000000000000e+00
1.019116802444164307e+02 9.712048589892759765e+01 3.466620033546670143e-01 -2.837921278019372746e+07 0.000000000000000000e+00
1.160271835163142242e+02 4.140388140795197103e+01 2.001051386310499502e-01 -2.680579123682241142e+07 0.000000000000000000e+00
1.165439295548370211e+02 7.814045278268430650e+01 3.142003878164187913e-01 -2.465596123032734171e+07 0.000000000000000000e+00
1.103981889717273788e+02 7.896559207969812633e+01 3.380365756805945310e-01 -2.022462646893025935e+07 0.000000000000000000e+00
1.012261780021652697e+02 7.534743734793431713e+01 3.426773005842754793e-01 -1.767475098373737931e+07 0.000000000000000000e+00
1.149591588223222516e+02 2.057832613064163141e+01 1.492195384860359741e-01 -1.589032438036345504e+07 0.000000000000000000e+00
1.131825680420896134e+02 9.125850935137161457e+01 4.388839773876953010e-01 -1.234274849203757197e+07 0.000000000000000000e+00
1.165081324301771275e+02 5.660931351091471697e+01 3.196655804431227654e-01 -1.228478209591515176e+07 0.000000000000000000e+00
1.030981920007890693e+02 6.995135138713314404e+01 3.724493849773742316e-01 -1.186412482618170977e+07 0.000000000000000000e+00
1.148412645494845776e+02 7.032035333977100322e+01 3.861748475475082487e-01 -1.070036835737070069e+07 0.000000000000000000e+00
1.143298213621586967e+02 5.786170369870526287e+01 3.394826989145887652e-01 -1.069808765378745832e+07 0.000000000000000000e+00
1.020191367872249799e+02 5.390806588880756323e+01 3.356273991390889000e-01 -9.635131930037654936e+06 0.000000000000000000e+00
1.180205152736774039e+02 6.600187316285880001e+01 4.229955887223635358e-01 -7.208169034743527882e+06 0.000000000000000000e+00
1.025179803939311824e+02 3.746181299532830167e+01 2.965837696525553402e-01 -6.743142722279133275e+06 0.000000000000000000e+00
1.022622126182905617e+02 6.291816987284764195e+01 4.369716830086588510e-01 -5.945343881014055572e+06 0.000000000000000000e+00
1.149818164010902990e+02 7.099615741029757032e+01 4.736696001645540055e-01 -5.896605952147254720e+06 0.000000000000000000e+00
1.048690597388399368e+02 5.831465103345821177e+01 4.473766234944749343e-01 -4.718773582658130676e+06 0.000000000000000000e+00
1.121268111475973228e+02 6.215324711848772665e+01 4.888022045830341944e-01 -4.146522968684250023e+06 0.000000000000000000e+00
1.197530437976697613e+02 8.219162220700677324e+01 5.700686452765187928e-01 -4.123885300445050467e+06 0.000000000000000000e+00
