# nu h lw logL logPrior
1.100138252497166462e+02 1.005281783199603751e+01 1.003356427534941364e+00 -2.338705430819765752e+03 0.000000000000000000e+00
1.100106183410452871e+02 1.032176017546458091e+01 1.027006709221766734e+00 -2.338313259826317335e+03 0.000000000000000000e+00
1.100006487701680413e+02 1.043033976365921411e+01 1.019202662593569508e+00 -2.337604433676800909e+03 0.000000000000000000e+00
1.100034510201823963e+02 9.575378687251079768e+00 9.809581660390380708e-01 -2.336482800569553547e+03 0.000000000000000000e+00
1.099957136927970396e+02 9.688398318924875241e+00 9.896484426447568206e-01 -2.335795169555961820e+03 0.000000000000000000e+00
1.099894933412881954e+02 9.877324838766313064e+00 9.951785036978441079e-01 -2.335589828454268172e+03 0.000000000000000000e+00
1.099951606575855294e+02 1.001128604199057825e+01 9.943676311204079354e-01 -2.334742985975328338e+03 0.000000000000000000e+00
1.099902287806934567e+02 1.020725805963961186e+01 1.014057055555079412e+00 -2.334674595612012126e+03 0.000000000000000000e+00
1.100025779526301761e+02 1.032930423793463071e+01 1.014323693696195461e+00 -2.334480939905229661e+03 0.000000000000000000e+00
1.100008240146093357e+02 9.600579239410208743e+00 9.745936775288520648e-01 -2.334467732033854190e+03 0.000000000000000000e+00
1.100057641592661781e+02 9.709894834536324737e+00 9.893661001633013985e-01 -2.334329979133547567e+03 0.000000000000000000e+00
1.099932600468721233e+02 1.002504011369943093e+01 9.967683158484320627e-01 -2.334279060778378152e+03 0.000000000000000000e+00
1.100099546287775922e+02 1.004451848605584274e+01 1.001075214855802642e+00 -2.334040750139436568e+03 0.000000000000000000e+00
1.099997459240441913e+02 1.017016733900708303e+01 1.021338544428828099e+00 -2.334004613484245056e+03 0.000000000000000000e+00
1.100058022173322172e+02 1.037508062223469985e+01 1.020206465635596249e+00 -2.333936336407125054e+03 0.000000000000000000e+00
1.099942505391915262e+02 1.012822924713942641e+01 1.002795796638201731e+00 -2.333829071027797909e+03 0.000000000000000000e+00
1.100017899280807114e+02 9.610026703057496178e+00 9.808501530182921480e-01 -2.333791068939560773e+03 0.000000000000000000e+00
1.100009300289672467e+02 9.985600260548176621e+00 9.923292814405491047e-01 -2.333776509868076118e+03 0.000000000000000000e+00
1.100100227950770062e+02 1.020351921010080432e+01 1.014695337988382517e+00 -2.333773506754344453e+03 0.000000000000000000e+00
1.100040499021160514e+02 1.020977739726757427e+01 1.022496935749377833e+00 -2.333576920155270273e+03 0.000000000000000000e+00
