name,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
l0[0],159.849,0.031,159.791,159.911,0.001,0.001,778.0,778.0,812.0,525.0,1.01
l0[1],176.27,0.018,176.237,176.305,0.0,0.0,1420.0,1420.0,1433.0,608.0,1.0
l0[2],192.923,0.016,192.895,192.951,0.0,0.0,1583.0,1583.0,1594.0,586.0,1.01
l0[3],209.928,0.009,209.909,209.943,0.0,0.0,1569.0,1569.0,1551.0,744.0,1.01
l0[4],226.816,0.009,226.8,226.834,0.0,0.0,2098.0,2098.0,2071.0,704.0,1.01
l0[5],243.903,0.017,243.873,243.934,0.0,0.0,1293.0,1293.0,1295.0,725.0,1.0
l0[6],261.219,0.032,261.164,261.276,0.001,0.001,1255.0,1255.0,1253.0,718.0,1.0
l2[0],157.499,0.437,156.479,158.254,0.014,0.01,999.0,999.0,1089.0,500.0,1.0
l2[1],173.952,0.028,173.897,174.002,0.001,0.001,1593.0,1593.0,1760.0,776.0,1.0
l2[2],190.624,0.017,190.594,190.656,0.0,0.0,1684.0,1684.0,1679.0,564.0,1.01
l2[3],207.638,0.024,207.597,207.687,0.001,0.0,1363.0,1363.0,1413.0,779.0,1.0
l2[4],224.696,0.019,224.659,224.729,0.0,0.0,1559.0,1559.0,1549.0,713.0,1.0
l2[5],241.713,0.023,241.672,241.757,0.001,0.0,1933.0,1933.0,1931.0,838.0,1.0
l2[6],258.977,0.078,258.828,259.12,0.002,0.001,1749.0,1749.0,1820.0,588.0,1.0
width0[0],0.256,0.105,0.104,0.47,0.004,0.003,888.0,745.0,1171.0,662.0,1.01
width0[1],0.195,0.043,0.124,0.273,0.001,0.001,979.0,927.0,1011.0,815.0,1.0
width0[2],0.158,0.032,0.103,0.22,0.001,0.001,1085.0,1054.0,1050.0,623.0,1.0
width0[3],0.104,0.015,0.076,0.133,0.0,0.0,987.0,987.0,969.0,839.0,1.0
width0[4],0.109,0.018,0.075,0.142,0.001,0.0,860.0,851.0,841.0,509.0,1.0
width0[5],0.206,0.035,0.145,0.269,0.001,0.001,860.0,823.0,871.0,653.0,1.0
width0[6],0.364,0.087,0.221,0.532,0.003,0.002,767.0,767.0,774.0,750.0,1.0
width2[0],0.403,0.728,0.017,1.094,0.036,0.026,420.0,403.0,807.0,661.0,1.0
width2[1],0.17,0.065,0.068,0.293,0.002,0.001,1069.0,993.0,1048.0,794.0,1.0
width2[2],0.149,0.042,0.08,0.232,0.001,0.001,967.0,861.0,1040.0,613.0,1.0
width2[3],0.356,0.052,0.268,0.46,0.002,0.001,948.0,938.0,941.0,582.0,1.0
width2[4],0.353,0.041,0.287,0.439,0.001,0.001,905.0,892.0,911.0,748.0,1.01
width2[5],0.316,0.053,0.223,0.414,0.002,0.001,865.0,847.0,881.0,809.0,1.0
width2[6],0.717,0.195,0.351,1.065,0.006,0.004,973.0,973.0,957.0,715.0,1.0
height0[0],0.942,0.31,0.357,1.478,0.009,0.006,1319.0,1238.0,1187.0,645.0,1.0
height0[1],5.516,1.241,3.364,7.677,0.037,0.027,1115.0,1034.0,1143.0,788.0,1.0
height0[2],12.322,3.236,6.431,18.41,0.1,0.074,1043.0,948.0,1137.0,591.0,1.0
height0[3],42.669,9.324,27.86,60.67,0.32,0.233,847.0,804.0,919.0,867.0,1.0
height0[4],57.013,14.206,33.98,83.027,0.484,0.359,863.0,782.0,942.0,532.0,1.0
height0[5],17.22,3.718,10.525,23.723,0.113,0.082,1080.0,1035.0,1108.0,688.0,1.0
height0[6],3.863,0.793,2.452,5.347,0.024,0.017,1115.0,1044.0,1166.0,783.0,1.0
height2[0],0.203,0.079,0.092,0.357,0.002,0.002,1118.0,1053.0,1078.0,683.0,1.0
height2[1],2.014,0.6,0.96,3.108,0.018,0.013,1170.0,1050.0,1212.0,704.0,1.0
height2[2],6.889,1.929,3.491,10.341,0.061,0.047,987.0,848.0,1120.0,637.0,1.0
height2[3],11.646,2.271,7.934,16.107,0.072,0.053,985.0,934.0,1034.0,699.0,1.0
height2[4],21.622,3.655,15.389,28.853,0.115,0.083,1013.0,972.0,1034.0,850.0,1.01
height2[5],8.992,1.861,5.807,12.37,0.061,0.045,927.0,872.0,966.0,783.0,1.0
height2[6],1.671,0.341,1.143,2.289,0.009,0.007,1384.0,1166.0,1511.0,708.0,1.0
back[0],0.966,0.056,0.861,1.071,0.002,0.001,1133.0,1133.0,1219.0,559.0,1.0
back[1],0.888,0.056,0.79,1.0,0.002,0.001,1340.0,1327.0,1344.0,683.0,1.01
back[2],0.893,0.066,0.779,1.021,0.002,0.001,1237.0,1237.0,1239.0,534.0,1.0
back[3],0.594,0.073,0.471,0.739,0.002,0.002,1123.0,1103.0,1126.0,903.0,1.0
back[4],0.512,0.082,0.367,0.666,0.002,0.002,1279.0,1271.0,1266.0,642.0,1.01
back[5],0.744,0.092,0.572,0.915,0.003,0.002,765.0,765.0,760.0,625.0,1.01
back[6],0.677,0.114,0.452,0.876,0.004,0.003,816.0,816.0,836.0,605.0,1.0
