,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,1.2306012181972346,1.230430209714204,1.2307660854507942,1.2309358132346793,1.2311075535246998,0.00016780458714169504,1.230768033549301,1.2308000826304775,-0.005118911240895026,0.00017043726129771261
numax,2.3451586990589357,2.3438118878595717,2.346503020646933,2.347788798624339,2.3491878948332197,0.0013260041356774675,2.346489468061021,2.346549214387768,0.05639185941444383,0.0013354544886641517
eps,1.3284878650147764,1.3232567063571374,1.333637670864337,1.3386502970007055,1.3438411310765064,0.005120348083805516,1.3335612648471529,1.3326407952736996,-0.01132044153269845,0.005161940433175677
d02,0.3444638917313121,0.3421391833545989,0.34690181730807645,0.3492192569174633,0.3515347291787621,0.002385237444251787,0.34686229883471303,0.34613460387418643,-0.042863729158783836,0.0023669882445667956
alpha,-2.193919738804166,-2.2180488345319658,-2.170538225760012,-2.14833916748819,-2.1288029765449803,0.022973545336869496,-2.171203336725248,-2.1674283009428397,-0.1688338016948734,0.022667315449458023
env_height,1.4296783321020186,1.3965695461337884,1.4671091092507569,1.5030092988336592,1.5377508557361206,0.03653255671144533,1.4670624777513397,1.4541045832109494,0.04946894377141389,0.03629588784888976
env_width,1.3013188605604755,1.2901940960378098,1.3126470549767018,1.324303844444396,1.3354974465944636,0.011440700347610789,1.3128014360311024,1.3139860864211632,0.04658804721904954,0.011418058476745612
mode_width,-0.681175502674664,-0.7051156494906963,-0.6596497604658422,-0.637779461888487,-0.616440628904296,0.021460068101287356,-0.6596938833182111,-0.6512445030431891,-0.0588449148381425,0.021799140354785262
teff,3.6929391722048686,3.6885523211519713,3.700538683206716,3.7041758365616544,3.7070869606561327,0.004699684439023636,3.699306574208534,3.702542376340432,-0.5948846189174293,0.0051281995033209135
bp_rp,1.1857663591842487,1.133216633091559,1.2336685427541472,1.2811032178317148,1.330330441920136,0.047946119942060154,1.233217022617339,1.221648052073959,-0.10455134471767823,0.04902548677601116
