,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
l0__0,159.83937330133105,0.029678732688957564,0.0011389313362887875,159.78195499628904,159.90070368889587,630.6258645206669,0.9996365420235691
l0__1,176.26688000243658,0.019868905930263844,0.0004949402230544876,176.22786617276637,176.30477288124072,1573.0396250022072,0.9992477911868388
l0__2,192.92033721732977,0.014296235195866161,0.00038788296215881463,192.8943926711604,192.9494912722933,1322.2519014199836,1.000006845403551
l0__3,209.9240343066757,0.008283926378120312,0.00024206574503420953,209.908568112627,209.94123618621347,1384.4582902687944,1.0038384761984227
l0__4,226.81686768989465,0.009115191118364452,0.00025559617105644117,226.799114884448,226.83444333681976,1052.680224553461,0.999995530945415
l0__5,243.88742464517932,0.015400733694270018,0.0004129675289035634,243.85687406186932,243.91805736435632,1142.6155182304838,0.9991086294383817
l0__6,261.21042935392984,0.029632407044711376,0.0008326375542611096,261.14813984340043,261.26168582805656,1480.4662380207935,0.9990095408309418
l2__0,157.45086724306944,0.4558183682038456,0.020073437489275096,156.35771802507057,158.26064393268632,336.1704354847158,1.0034993436469124
l2__1,173.95252649473122,0.029546192730535728,0.0009017770320645911,173.8997247193082,174.0132738929696,1117.6485488122344,0.9990155484715132
l2__2,190.62222473334018,0.017752575522133402,0.000514863304851466,190.5871739864547,190.65772524606047,1417.7062984291028,0.9989995118974518
l2__3,207.64559716299738,0.02569734379431284,0.0007516845871452307,207.59640809778716,207.69565650703592,1171.5215284665308,1.000025467462809
l2__4,224.68987888741785,0.019422170699328015,0.0005019011723415678,224.65254954627758,224.72760487094905,1644.0251846286696,0.9998386978030062
l2__5,241.71206135708576,0.02320233275783585,0.0007876331124943463,241.66836220514486,241.75801497831955,556.0955774534674,1.0086709254376052
l2__6,259.00796238356077,0.0773015350313787,0.002111768902980607,258.85012113770773,259.15561396186985,1271.546858561185,0.9990473848555279
width0__0,0.23991140774289862,0.0972357259967283,0.003051397917600747,0.07397449987016483,0.4212659899991166,896.5036664513976,1.000910338592554
width0__1,0.21647911984070567,0.04855638201552322,0.0017206928389163546,0.13297022770670203,0.3139637994685319,681.6594009473804,1.0028049449902314
width0__2,0.1599598356139965,0.03095804898129184,0.0011508906507897536,0.10914444438670966,0.22763148675027764,620.5421919337402,0.9994193227272425
width0__3,0.10047704650573089,0.015535614097906618,0.00047801307617339393,0.06816678152267538,0.12669932423186125,798.37151071077,0.9990040625847441
width0__4,0.11354763063296207,0.016478388629823523,0.0005832698149804154,0.08544814811464495,0.14912571890615017,649.5536072676593,0.9993651292253649
width0__5,0.20999840645499956,0.03750153478813997,0.0015738103817168857,0.1385927788227322,0.2797143032110686,476.8699131541509,1.002934768077454
width0__6,0.34172423535561164,0.08173570628320188,0.003403353107839914,0.1767030770913067,0.47846570483528417,432.5306705253017,1.0002083529182402
width2__0,0.34146111975507415,0.42878088062801245,0.015250263686026815,0.009112349806522556,1.0595548748894514,613.283707852508,1.0002450396546165
width2__1,0.18130119395478914,0.07339970108366924,0.002851814495527745,0.068913580918775,0.33476659532190384,566.445397700969,1.000289463589566
width2__2,0.1501994180874948,0.04147917612117853,0.0016320540955220477,0.0747742396595848,0.22932077885301672,599.5328410532491,0.9995770656433282
width2__3,0.3692427682150598,0.05231126928963818,0.0017110827350663618,0.275096654200722,0.4735880003337924,845.7277034340434,0.9990444482854515
