name,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
l0[0],159.844,0.026,159.793,159.89,0.001,0.001,1169.0,1169.0,1228.0,580.0,1.0
l0[1],176.266,0.019,176.232,176.303,0.0,0.0,1850.0,1850.0,1855.0,583.0,1.0
l0[2],192.922,0.015,192.894,192.95,0.0,0.0,1576.0,1576.0,1639.0,549.0,1.0
l0[3],209.926,0.008,209.91,209.941,0.0,0.0,1974.0,1974.0,1958.0,629.0,1.01
l0[4],226.817,0.009,226.801,226.834,0.0,0.0,2504.0,2504.0,2538.0,804.0,1.0
l0[5],243.89,0.016,243.863,243.922,0.0,0.0,2032.0,2032.0,2044.0,915.0,1.0
l0[6],261.211,0.032,261.149,261.268,0.001,0.001,1719.0,1719.0,1697.0,724.0,1.0
l2[0],157.445,0.507,156.44,158.435,0.022,0.016,531.0,531.0,622.0,387.0,1.0
l2[1],173.953,0.028,173.9,174.004,0.001,0.0,1549.0,1548.0,1831.0,633.0,1.0
l2[2],190.623,0.017,190.591,190.652,0.0,0.0,1892.0,1892.0,1910.0,854.0,1.0
l2[3],207.643,0.024,207.597,207.684,0.001,0.0,1612.0,1612.0,1598.0,727.0,1.0
l2[4],224.688,0.019,224.653,224.724,0.0,0.0,2370.0,2369.0,2394.0,689.0,1.0
l2[5],241.71,0.025,241.662,241.756,0.001,0.0,1912.0,1912.0,1924.0,785.0,1.01
l2[6],258.983,0.076,258.833,259.128,0.002,0.001,2189.0,2189.0,2235.0,701.0,1.0
width0[0],0.216,0.096,0.068,0.393,0.003,0.003,871.0,684.0,1088.0,764.0,1.01
width0[1],0.204,0.044,0.129,0.289,0.001,0.001,1078.0,1023.0,1103.0,817.0,1.0
width0[2],0.153,0.03,0.103,0.21,0.001,0.001,1535.0,1389.0,1602.0,738.0,1.0
width0[3],0.1,0.016,0.072,0.129,0.0,0.0,1045.0,997.0,1073.0,654.0,1.0
width0[4],0.113,0.017,0.08,0.143,0.001,0.0,1019.0,1008.0,1017.0,629.0,1.0
width0[5],0.206,0.038,0.139,0.279,0.001,0.001,652.0,602.0,704.0,657.0,1.0
width0[6],0.364,0.088,0.206,0.522,0.003,0.002,1040.0,971.0,1053.0,650.0,1.0
width2[0],0.315,0.402,0.014,0.878,0.013,0.009,990.0,968.0,1197.0,707.0,1.0
width2[1],0.182,0.072,0.077,0.318,0.003,0.002,770.0,680.0,982.0,700.0,1.0
width2[2],0.137,0.037,0.073,0.207,0.001,0.001,962.0,877.0,994.0,741.0,1.0
width2[3],0.365,0.05,0.274,0.454,0.002,0.001,989.0,977.0,996.0,851.0,1.0
width2[4],0.346,0.043,0.261,0.427,0.001,0.001,894.0,894.0,858.0,705.0,1.0
width2[5],0.323,0.057,0.218,0.429,0.002,0.001,1361.0,1350.0,1340.0,934.0,1.0
width2[6],0.708,0.167,0.401,1.017,0.005,0.004,924.0,924.0,941.0,733.0,1.01
height0[0],1.104,0.391,0.454,1.787,0.011,0.008,1297.0,1147.0,1277.0,755.0,1.0
height0[1],5.314,1.165,3.459,7.692,0.037,0.028,983.0,895.0,1146.0,958.0,1.0
height0[2],12.241,3.249,6.578,18.179,0.091,0.071,1265.0,1036.0,1553.0,778.0,1.0
height0[3],43.25,10.053,26.434,60.41,0.309,0.224,1060.0,1005.0,1092.0,742.0,1.0
height0[4],50.569,12.191,32.074,74.632,0.389,0.286,984.0,906.0,1044.0,588.0,1.0
height0[5],18.071,4.418,11.105,26.493,0.144,0.109,943.0,827.0,1045.0,600.0,1.0
height0[6],4.038,0.888,2.654,5.793,0.028,0.022,994.0,811.0,1388.0,659.0,1.0
height2[0],0.224,0.093,0.089,0.389,0.003,0.002,1216.0,830.0,1805.0,702.0,1.0
height2[1],2.119,0.644,1.071,3.319,0.017,0.013,1360.0,1209.0,1331.0,753.0,1.0
height2[2],6.924,1.892,3.902,10.646,0.058,0.045,1054.0,893.0,1215.0,729.0,1.0
height2[3],10.948,1.947,7.419,14.385,0.057,0.041,1158.0,1116.0,1189.0,867.0,1.0
height2[4],21.133,3.884,14.638,28.668,0.137,0.103,800.0,710.0,931.0,674.0,1.0
height2[5],9.159,1.979,6.035,13.077,0.052,0.039,1430.0,1285.0,1580.0,801.0,1.01
height2[6],1.655,0.332,1.071,2.213,0.008,0.007,1651.0,1230.0,2104.0,696.0,1.01
back[0],1.021,0.053,0.921,1.115,0.001,0.001,1340.0,1340.0,1338.0,842.0,1.0
back[1],0.863,0.058,0.74,0.959,0.002,0.001,1106.0,1106.0,1108.0,687.0,1.0
back[2],0.905,0.064,0.79,1.024,0.002,0.001,1739.0,1717.0,1740.0,800.0,1.0
back[3],0.577,0.076,0.433,0.716,0.002,0.002,1287.0,1242.0,1301.0,746.0,1.0
back[4],0.493,0.079,0.354,0.651,0.002,0.001,1446.0,1446.0,1409.0,617.0,1.0
back[5],0.747,0.098,0.556,0.926,0.003,0.002,1148.0,1113.0,1158.0,744.0,1.0
back[6],0.667,0.103,0.496,0.869,0.004,0.003,851.0,851.0,866.0,653.0,1.0
