# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.231196097202308604e+00 2.354155172403376461e+00 1.383277870673387699e+00 3.156931387777792142e-01 -2.451030795391508921e+00 1.502416960603454754e+00 1.318278250868246015e+00 -9.769567659488109790e-01 3.700798029055613725e+00 1.198648080973311547e+00 -2.697862432977503340e+04 1.736467557261065409e+01
1.233315261718103351e+00 2.329237862276686055e+00 1.329722074967175871e+00 3.491404206230868112e-01 -2.457135842583650476e+00 1.044177496231825764e+00 1.331203051522771075e+00 -8.745923797342431971e-01 3.708851723709397419e+00 1.155291428129132214e+00 -2.697638655082678451e+04 2.083429219690862411e+01
1.232123539056596551e+00 2.344623920392664651e+00 1.365728405282954805e+00 3.399339309324801439e-01 -2.497797687212447659e+00 8.434660115687238058e-01 1.319469691791493871e+00 -8.675057823663036016e-01 3.706307925758129507e+00 1.182760912113322682e+00 -2.696420261346202824e+04 2.357212979632006622e+01
1.232619253678426174e+00 2.342716265074431092e+00 1.366838183079477798e+00 3.306160591308816010e-01 -2.691142188425159176e+00 8.356999642710398746e-01 1.312983856812681482e+00 -9.203769194269453280e-01 3.712659540267313929e+00 1.100206409385203310e+00 -2.694398333412168722e+04 1.907652571047287537e+01
1.228242026096954875e+00 2.346268489363658727e+00 1.352638199686710507e+00 3.244899406323640823e-01 -2.343018667830199409e+00 1.112086974875098555e+00 1.300161185235872097e+00 -9.796907460860464489e-01 3.704327839883734708e+00 1.239020425720993357e+00 -2.692747792639040563e+04 2.016159304246946604e+01
1.231467173026230100e+00 2.352555895638352546e+00 1.379024037619347220e+00 3.172967877316770213e-01 -2.172050630933219040e+00 1.372767852150349910e+00 1.318435737278759845e+00 -8.603560074583701534e-01 3.702354272646864342e+00 1.168351998457618945e+00 -2.692541202344961494e+04 2.054365800371322948e+01
1.227652510757017978e+00 2.340951625077791309e+00 1.361851650430490945e+00 3.270478117727869116e-01 -2.297627791023119759e+00 1.169079707121577272e+00 1.232522246089517992e+00 -9.220528571549273522e-01 3.699019270881401145e+00 1.192700534449600447e+00 -2.689934743465398060e+04 2.005394381749672306e+01
1.233756199214751215e+00 2.333910447439274449e+00 1.334021900986449349e+00 3.599732372939292158e-01 -2.344372938301072740e+00 1.211868420061927631e+00 1.251855503075722353e+00 -7.900112966450787422e-01 3.709228024326564288e+00 1.241434555932130257e+00 -2.687597450720057532e+04 2.100764983400748065e+01
1.231803040537503113e+00 2.343721533190991746e+00 1.401122754211633570e+00 3.549862939841584852e-01 -2.329312448198836538e+00 8.569756854881681596e-01 1.410418462751587665e+00 -7.970960638272995835e-01 3.702938674715665179e+00 1.112561762902720908e+00 -2.686269696157525686e+04 1.869384023623164381e+01
1.230344183308942352e+00 2.340011535979728663e+00 1.417093345877166843e+00 3.581950784650443920e-01 -2.770953140194413411e+00 8.916952386614862558e-01 1.347251580558323170e+00 -7.111859147047149277e-01 3.707108288331456336e+00 1.178239680112992183e+00 -2.685575396446082232e+04 2.085747121885209410e+01
1.227609198765929888e+00 2.338569712724060778e+00 1.364704739828299429e+00 3.264823777197010668e-01 -2.653906370638063894e+00 1.111682025846081556e+00 1.337893818911969790e+00 -7.828110805168546626e-01 3.701038306258849886e+00 1.226351012944387087e+00 -2.683860492275917204e+04 2.219474441198765646e+01
1.226614630898565705e+00 2.340577543650389281e+00 1.384465273155512932e+00 3.242898220092969019e-01 -2.698400460691412484e+00 1.104267093084777773e+00 1.341804604768278120e+00 -7.894267032306599985e-01 3.700355967659529011e+00 1.121290854532601688e+00 -2.683398998312289768e+04 2.068891660562193380e+01
1.228149588627916566e+00 2.348932060046044157e+00 1.368744926621013214e+00 3.385741337641652859e-01 -2.117823714793875212e+00 7.654645190025555213e-01 1.315734870026517900e+00 -8.956199753362564797e-01 3.703446173660237317e+00 1.300737627270900143e+00 -2.683201134731274215e+04 1.711790134594834711e+01
1.231337018129676109e+00 2.341649985733603057e+00 1.376166182852531783e+00 3.329326846022793163e-01 -2.603144169181450973e+00 9.093738891181564199e-01 1.313218836674321599e+00 -7.676291811934717879e-01 3.704409095016037323e+00 1.181109652821095146e+00 -2.682546044670135234e+04 2.421930115968223163e+01
1.226997109518198847e+00 2.342387051656380947e+00 1.377308304962912899e+00 3.237018755298388117e-01 -2.486924954801405629e+00 1.320377702752622451e+00 1.290891387512447697e+00 -8.247807832494754576e-01 3.711062329827016892e+00 1.210259266320438565e+00 -2.681171478728578222e+04 2.122871502042004010e+01
1.226757195232577313e+00 2.351923295242730472e+00 1.387509546014061623e+00 3.173912334257404377e-01 -2.932726150163268652e+00 1.488585670481441747e+00 1.201109508788112956e+00 -9.182872313257719465e-01 3.703703319711570519e+00 1.264160725733536772e+00 -2.680898221642962380e+04 2.045884472994202596e+01
1.226131331749985343e+00 2.353472889883328811e+00 1.410205046208336643e+00 3.108164480792098838e-01 -2.454086052209357938e+00 1.060864045238666176e+00 1.318194963014208021e+00 -7.926841569708518165e-01 3.705163082961507648e+00 1.261121736520678605e+00 -2.679164988361659925e+04 2.136676726214414401e+01
1.226852161306049016e+00 2.336501971936136179e+00 1.383003140026532352e+00 3.126887192712694552e-01 -2.568374724582751067e+00 1.255098138734558999e+00 1.279670516698314442e+00 -7.984635493967062736e-01 3.706147673964264921e+00 1.217600791532044591e+00 -2.678396929258770615e+04 2.147719797227509986e+01
1.228450559621526272e+00 2.346643247731647008e+00 1.351769876224267142e+00 3.554686382503396413e-01 -2.688925613752966903e+00 1.439318343675603407e+00 1.272048902165106909e+00 -8.800290194159618995e-01 3.701698680607051095e+00 1.266750908981712609e+00 -2.678122794768579479e+04 2.214233416230354123e+01
1.227430841807883422e+00 2.350233679865994407e+00 1.342045930729167225e+00 3.376981291455794509e-01 -2.056496262909420558e+00 7.590470616493988354e-01 1.315523229107792513e+00 -8.597230908432100804e-01 3.704013972499094809e+00 1.294663800927282393e+00 -2.677560344185683061e+04 1.676427494982534228e+01
1.231988229802973178e+00 2.351693451341919872e+00 1.396009590613418450e+00 3.522860348863612878e-01 -2.333560195284978267e+00 8.590311248863491400e-01 1.416786488167689928e+00 -7.294126465348935717e-01 3.704369893518907109e+00 1.150374753947959405e+00 -2.676994183604545105e+04 1.973324402662997556e+01
1.226647624462728681e+00 2.342343511090202224e+00 1.403338587191922393e+00 3.537488651319674049e-01 -2.490405348778972350e+00 7.810773435731576120e-01 1.399783279889919907e+00 -6.671780365575393779e-01 3.707909030577132281e+00 1.241629543364488830e+00 -2.675648299213489736e+04 1.616411084870650328e+01
1.233625470126082702e+00 2.334304101743174709e+00 1.349664015563119879e+00 3.705462747641696808e-01 -2.244400460035565370e+00 1.548409691160135049e+00 1.244200595216603755e+00 -8.803807841392969902e-01 3.706179660666977238e+00 1.259274868438540196e+00 -2.672748668020817058e+04 1.663333826248226543e+01
1.228144878223985881e+00 2.347703173631312978e+00 1.366796699471750864e+00 3.381736703993392656e-01 -2.728655152773861836e+00 9.814617485595422686e-01 1.301620765098485011e+00 -7.975486994443644617e-01 3.704545127753632094e+00 1.285327477526514217e+00 -2.671772990792238124e+04 2.333056057424141017e+01
1.226308180023210737e+00 2.335359200299843785e+00 1.411111775459418238e+00 3.216886542087252776e-01 -2.507300919569940056e+00 1.128871803741790858e+00 1.263784469158890866e+00 -7.665659609706264588e-01 3.701487426353143206e+00 1.158426250629326582e+00 -2.670163656937217456e+04 1.641505344654825649e+01
1.229444920385428519e+00 2.343929444221167113e+00 1.314407977596221411e+00 3.545273152428462526e-01 -3.056676512683140778e+00 8.765627289309191328e-01 1.340236376280116160e+00 -5.990498676745338313e-01 3.710898104204185977e+00 1.139057758365725537e+00 -2.669154008809825245e+04 2.005372883371749637e+01
1.228845344165384601e+00 2.352816199397921082e+00 1.322352151756742256e+00 3.398500249593382483e-01 -2.186218055288247086e+00 1.316378801296556711e+00 1.279572959460234527e+00 -7.288098473720391324e-01 3.702844851222865774e+00 1.199500926823322544e+00 -2.668588144335398101e+04 2.103945397986152699e+01
