,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
l0__0,159.83709440277758,0.028284002271917495,0.0009646509500908795,159.780269904625,159.892956695271,584.4089344838983,1.0055651417468647
l0__1,176.26754140362303,0.018803028520587822,0.0005531573171401002,176.23040155358444,176.30150669399086,932.8211493898472,1.0002878311812573
l0__2,192.9206536627964,0.015071647915194279,0.0003572918890511287,192.89057977424144,192.94946436361144,1421.7094831109143,0.9990813400989217
l0__3,209.924223530698,0.00905636961485455,0.00022612446172805544,209.90694371028806,209.94147399589679,1534.4343030507455,1.0002989502516593
l0__4,226.81710043973797,0.008989141166626406,0.0002545535928647315,226.8005952022367,226.8343250603641,1022.6606044121439,1.0020871151122053
l0__5,243.88772418546574,0.015389028805874281,0.00041127592949172605,243.86179277294008,243.92271245673385,1217.6221125396878,0.9994221824375374
l0__6,261.2087336735906,0.029875181016943645,0.0007458467872997296,261.15330289437094,261.26819373577763,1615.3726436741015,0.9990343926087056
l2__0,157.44849696553712,0.4612312696729803,0.020644216801823496,156.4198844425561,158.39200518959922,464.6319653488105,1.001861448485128
l2__1,173.9522024092207,0.028624713478806813,0.0007941296725168875,173.89716979108175,174.00774292659804,1128.2532947584791,0.9991745096637858
l2__2,190.6216703796442,0.01775790939182213,0.0005094388516894401,190.58898778018875,190.6604902443263,1198.572862710751,0.9998799055220937
l2__3,207.64423354196384,0.02619562938536458,0.0007563176077640825,207.58954493729203,207.69408196540127,946.8943490841441,1.002036582576483
l2__4,224.68955305312184,0.018736135139358585,0.0005182923380144331,224.65366369981535,224.7262034507714,1214.255085144908,0.9990268909248288
l2__5,241.71135035590277,0.024497595628179488,0.0007277457857386789,241.66590741976893,241.76333750580437,1122.8274951272238,0.9991462765729751
l2__6,259.00717118060976,0.07869674538803716,0.0019427125956336705,258.844757548775,259.16004353307005,1477.6834620734603,0.9992165715288279
width0__0,0.23187209879556356,0.09996456622747048,0.0032827958204462715,0.07808675707281294,0.4164302805571991,624.4113038984995,1.0033222795139072
width0__1,0.21386184961381105,0.04811278982844091,0.0019370231099571482,0.12717933148719252,0.3094519021486998,617.2907694937614,0.9990587204523258
width0__2,0.16078512544743007,0.030390395939407695,0.0011665040324698097,0.11161796340332525,0.22506059452322383,682.0131345521146,1.0010846999734428
width0__3,0.1011231057386824,0.01568029932092811,0.0005532499005301126,0.0730741063475298,0.1327797745073461,695.2093792156894,0.9990939860764105
width0__4,0.11171863170434836,0.016701987292681703,0.000695319087559052,0.07729364791250394,0.1426137804688327,364.81780878278045,1.0113552976391222
width0__5,0.20666488833401434,0.035167122442843715,0.001192415525076073,0.13662225196117492,0.27288701450335356,909.6703120319523,0.9990041332361946
width0__6,0.3360073542065954,0.07525193929316527,0.0030072468019365544,0.18782732347240894,0.4797376391341949,511.9785654721893,0.999479614890474
width2__0,0.32850098674515055,0.4347154226168598,0.019295017625147022,0.006846916274649914,1.002809389643473,422.7874896980867,1.0081754730777774
width2__1,0.17472338954279937,0.06714655639143506,0.001998162290656232,0.06810302903288035,0.3021821413621091,888.9301177237809,1.0010802699248125
width2__2,0.1487502701925115,0.040860303679244474,0.0013478036891810524,0.07985258559979298,0.22819284340471135,918.2786102739686,1.0017121733502885
width2__3,0.3634923366581657,0.050912895948579825,0.0019075354714889314,0.26859670547415576,0.463304831999823,622.8024144447224,1.0023967636647602
width2__4,0.3499048132537775,0.04271591949035765,0.0016720471180783937,0.2761662617155279,0.4407708465142741,635.4365698997254,1.0004458394204692
width2__5,0.33231359993374804,0.05536692416029546,0.0019928701690595085,0.22397130207040797,0.4422739174540259,757.2362898014502,1.0011019021796657
width2__6,0.7256520251246656,0.18242862523375328,0.006389741870596763,0.37950425221145556,1.067893875229649,749.1471031242868,0.9993104400470314
height0__0,1.0301372103648176,0.3379630355105108,0.01048779192432492,0.4035704705107534,1.6575457211234408,1019.7223698723689,0.9998025626240744
height0__1,5.180470813557515,1.1960822230525563,0.04217572608601695,3.28863252361213,7.665091089133947,727.6827456202228,0.9993757975349709
height0__2,12.322899408293608,3.0105865451284477,0.11827402920717009,7.1150373051734475,17.773529438612393,652.0665156310638,0.9990041604237744
height0__3,44.086655256528,10.14753047298912,0.3611846251760632,26.482796209285166,64.0949006716027,745.5227608573886,0.999024947685192
height0__4,54.31121338687249,12.581556294450387,0.5157380926241794,34.123010000538244,81.49538876796073,473.94611151151514,1.0044289957931847
height0__5,17.774520202676168,4.027186172923666,0.14153757484516497,10.596277436702522,25.61970696456933,892.1231823162228,0.9989998351587448
height0__6,4.193645778460859,0.904797810182029,0.034723040318582206,2.701123761343414,5.951415729636668,660.6228837781047,0.9990361644830468
height2__0,0.21949392156189262,0.08727006939194547,0.002972834570652955,0.06912906006348027,0.3742535028831541,791.1269316603742,0.9990562041134654
height2__1,2.102530008335927,0.6657643050171355,0.02201145250207353,0.9259681518251951,3.341275821831091,780.9058775915372,0.9995066274502694
height2__2,7.114493321674658,2.030989697705429,0.07391991847420556,3.51407535334685,11.013081021857499,760.2457498808554,1.0003655345752955
height2__3,11.57402536003734,2.219489551986517,0.08491361237215042,7.598695083867359,15.791580630021771,651.413023219929,1.0012963326948323
height2__4,22.51510538274836,4.160159033099362,0.16626840744452712,15.479397995521204,30.43521206274388,641.592673825104,1.0001147217853512
height2__5,9.090901745721286,1.829571936608699,0.06526593021639882,6.101014549087421,12.668463978181135,784.3798666434417,1.0007753476743655
height2__6,1.674416521017284,0.3468477623777147,0.011219873262508766,1.081006725650312,2.390372404937687,968.7022687730005,1.0007837635984833
back__0,1.026235028602795,0.055746977634062854,0.0016921241154432404,0.9115058082425258,1.1296662712304413,1034.693233281921,1.00020044566499
back__1,0.8838664816462694,0.05791266185239977,0.0019777561432190306,0.7635526136302383,0.988851884728537,849.9610985519472,0.9994321272629719
back__2,0.9212477586726211,0.06439731901479855,0.00205219717630862,0.795943846659334,1.0437702675190308,770.2043261907675,1.0091340613786757
back__3,0.6032225043433731,0.07455538577609847,0.002214763593006452,0.46277832533011193,0.7525345028969233,1019.29496222372,1.0018242079476776
back__4,0.5042847291137826,0.07991483873766335,0.002630333462900764,0.3648499929006898,0.6730098292845534,543.7604729605063,1.0059381259824884
back__5,0.7311799301760724,0.092236708361897,0.0028586826578738634,0.5464458477927565,0.9073001910519899,977.7938803456062,0.9992122507431287
back__6,0.7132799971174532,0.10495328659221315,0.003757869088431087,0.5081457415337072,0.9235050937609744,690.2150927324413,0.9992059498311019
