# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.230333163723334788e+00 2.345813909079224047e+00 1.346007990748698813e+00 3.396288155756332916e-01 -2.182113569958280319e+00 1.412883253803203232e+00 1.304620503281991528e+00 -6.529949845518419060e-01 3.701293225550195576e+00 1.215172028097324830e+00 -2.291117019000459186e+04 2.431671432240310438e+01
1.230408421380052131e+00 2.346041337532789761e+00 1.345274436602683199e+00 3.449858752347149671e-01 -2.237579862304318379e+00 1.453334433840176354e+00 1.316799241761287043e+00 -6.342526239723209613e-01 3.692533591758360156e+00 1.149355388143908918e+00 -2.291039726458025689e+04 2.341790517814203199e+01
1.230947643506069999e+00 2.347763990610884033e+00 1.329012768659926014e+00 3.511021327040091400e-01 -2.233975452337830792e+00 1.408644995878088002e+00 1.316861303071246159e+00 -6.136503956027237194e-01 3.701292614303673290e+00 1.253438058104923591e+00 -2.290972319344321295e+04 2.722107277252498037e+01
1.230429465707881143e+00 2.343936557155001932e+00 1.345457870985175886e+00 3.541391341909927992e-01 -2.185970777885859917e+00 1.398787755723913673e+00 1.293495513784995721e+00 -6.092042938103984229e-01 3.702732050384379026e+00 1.305035578236070082e+00 -2.290963621694945687e+04 2.554640269327253677e+01
1.230955607065697510e+00 2.347559275725865202e+00 1.328561149449209999e+00 3.454689775112346761e-01 -2.237203551611842478e+00 1.425161212914865860e+00 1.324208349347973046e+00 -6.644639808735087749e-01 3.700559223868960856e+00 1.248089097846780460e+00 -2.290914788934857279e+04 2.433055719535204986e+01
1.231133585623108928e+00 2.348093404945625906e+00 1.322206129686327225e+00 3.451624087473090241e-01 -2.158766040380969198e+00 1.370996836412334607e+00 1.297282384965849911e+00 -6.147290167525987226e-01 3.705331706187150242e+00 1.171072520013842100e+00 -2.290879928367951652e+04 2.618576723273363527e+01
1.230809435818894126e+00 2.346937851157284260e+00 1.332653439252925898e+00 3.471850307353575582e-01 -2.216196445770918455e+00 1.509213151737208936e+00 1.264983826999180216e+00 -6.676780267213417996e-01 3.701116455128917071e+00 1.211119326874984248e+00 -2.290857260096546815e+04 2.325631279085645531e+01
1.231029654357816749e+00 2.347165106156571923e+00 1.325169279949309109e+00 3.439568429790668125e-01 -2.180937412234089656e+00 1.385129703509570431e+00 1.316018089996413787e+00 -6.471728449695518526e-01 3.700787641537226502e+00 1.255951465439241632e+00 -2.290855292183977508e+04 2.427782311036494889e+01
1.231107676079253421e+00 2.350278354184853313e+00 1.324024855699069469e+00 3.518729762659069116e-01 -2.205637397725197957e+00 1.382799963131192911e+00 1.325116849344408099e+00 -6.151040601584418788e-01 3.705665924655263233e+00 1.240025071757464126e+00 -2.290851489902245157e+04 2.608679164200565737e+01
1.230906652847699290e+00 2.347757402943094096e+00 1.330223510450643021e+00 3.509143100749473332e-01 -2.213504859425015958e+00 1.340682424588194088e+00 1.317668302547027492e+00 -5.990814407976524647e-01 3.701128747480362691e+00 1.225868294121494229e+00 -2.290848015312459756e+04 2.675098542328630558e+01
