KIC % dnuA dnuA_err epsA epsA_err dnuB dnuB_err epsB epsB_err PTEFF PTEFF_err CTEFF CTEFF_err BTEFF BTEFF_err  lnGamma  lnGamma_err  GAMMA_OB      GAM_errlo    GAM_errhi
   1430163 99.7 85.215   0.387   1.081   0.090  85.143   0.271   1.582   0.065 6520 60 6633 188  6520  60          -9999    0              4.28851     0.443847     0.540962
#   1725815 73.2 55.904   0.194   1.508   0.062 55.890   0.197   1.068   0.062  6550 82 6485 164  -9999  0          -9999    0              1.55385    0.0764367    0.0826068
   2837475 99.9 75.973   0.141   0.842   0.036  75.500   0.248   1.445   0.065 6700 60 6795 209  6700  60          2.228    0.072          -9999       0            0
   2852862 89.7 53.460   0.177   1.102   0.057  53.456   0.151   1.553   0.050 6417 58 6439 155  -9999  0          -9999    0              2.52162     0.204486     0.226588
   3424541 86.7 41.451   0.301   1.316   0.115 41.580   0.129   0.807   0.051  6080 60 6550 177  6080  60          1.480    0.112          -9999       0            0
   3456181 98.9 52.020   0.149   1.042   0.049  52.187   0.113   1.451   0.038 6270 60 6554 187  6270  60          -9999    0              5.01128     0.154286     0.159547
   3643774 100. 76.101   0.242   1.292   0.061 76.147   0.150   0.749   0.039  6029 104 6129 135 -9999  0          -9999    0              2.16179    0.0883980    0.0934933
   3733735 99.8 92.590   0.409   0.878   0.092  92.252   0.404   1.429   0.089 6715 60 6953 175  6715  60          2.227    0.102          -9999       0            0
   3967430 99.4 88.057   0.251   0.929   0.056  87.778   0.358   1.495   0.083 6622 53 6607 167  -9999  0          -9999    0              6.09708     0.756635     0.925776
   4465529 99.7 72.697   0.227   1.091   0.059  72.698   0.127   1.579   0.034 6345 49 -9999 0   -9999  0          -9999    0              4.42463     0.295414     0.318658
   4586099 99.2 61.421   0.217   1.110   0.063  61.553   0.161   1.533   0.048 6296 60 6299 191  6296  60          -9999    0              4.60553     0.213391     0.224128
   4638884 95.9 60.460   0.183   1.038   0.056  60.956   0.201   1.350   0.059 6375 60 6387 140  6375  60          -9999    0              5.63008     0.267246     0.283005
   4931390 92.8 93.070   0.587   0.789   0.133  92.614   0.173   1.394   0.038 6557 51 6376 168  -9999  0          -9999    0              5.58329     0.625884     0.791426
   5431016 93.7 49.194   0.201   1.209   0.070 48.919   0.213   0.862   0.072  6601 62 6617 159  -9999  0          -9999    0              2.73895     0.135349     0.143103
   5516982 89.3 83.805   0.284   1.135   0.067  84.119   0.266   1.534   0.064 6444 50 6381 157  -9999  0          -9999    0              2.59824     0.120272     0.127206
   5773345 95.7 57.284   0.152   1.081   0.048  57.397   0.147   1.521   0.045 6130 60 6200 133  6130  60          -9999    0              3.57883     0.126526     0.131285
   6508366 98.2 51.292   0.066   1.110   0.022  51.501   0.192   1.483   0.064 6354 60 6635 183  6354  60          1.599    0.074          -9999       0            0
   6679371 83.7 50.693   0.158   0.858   0.054  50.600   0.148   1.343   0.050 6260 60 6672 218  6260  60          1.623    0.062          -9999       0            0
   7103006 96.3 59.341   0.229   1.081   0.069  59.502   0.200   1.486   0.061 6394 60 6575 171  6394  60          1.415    0.080          -9999       0            0
   7206837 99.6 78.691   0.174   1.167   0.043  78.896   0.190   1.598   0.048 6304 60 6438 140  6304  60          1.472    0.095          -9999       0            0
   7282890 75.4 45.267   0.249   0.898   0.089  44.990   0.330   1.433   0.123 6384 60 6564 166  6384  60          -9999    0              4.41613     0.274297     0.294305
   7529180 82.2 85.889   0.282   0.956   0.067  85.631   0.522   1.515   0.121 6700 60 6884 177  6700  60          -9999    0              3.27044     0.248473     0.315219
   7771282 95.7 72.549   0.227   1.093   0.059  72.671   0.261   1.524   0.069 6407 74 6479 147  -9999  0          -9999    0              3.56271     0.270128     0.325110
   7940546 94.9 58.673   0.145   1.089   0.044  58.635   0.143   1.557   0.044 6264 60 6461 142 6264  60          -9999    0              3.00782     0.215745     0.248485
   8360349 67.0 41.044   0.154   0.969   0.059  40.719   0.222   1.540   0.089 6258 49 6511 132  6340  60          -9999    0              -9999       0            0
   8367710 86.7 55.362   0.141   1.161   0.045  55.532   0.192   1.537   0.060 6500 60 6468 145  6500  60          -9999    0              2.25890     0.176139     0.196959
   8579578 93.0 49.895   0.153   1.078   0.051  50.132   0.223   1.432   0.077 6380 60 6595 156  6380  60          -9999    0              4.61555     0.430279     0.512506
   9206432 100. 84.507   0.234   1.052   0.056  84.729   0.140   1.482   0.033 6608 60 7030 173  6608  60          2.129    0.086          -9999       0            0
   9226926 86.8 73.700   0.320   0.832   0.084  74.372   0.437   1.141   0.112 6892 60 7008 188 6892  60          -9999    0              9.65530     0.852550     0.966872
   9353712 96.1 51.374   0.170   1.124   0.056  51.388   0.090   1.566   0.031 6416 56 6305 136  -9999  0          -9999    0              2.78326     0.173411     0.188336
   9812850 98.1 64.588   0.223   1.104   0.063  65.019   0.141   1.448   0.041 6325 60 6687 155  6325  60          1.680    0.078          -9999       0            0
   9908400 85.0 36.503   0.168   0.999   0.070  35.980   0.127   1.678   0.055 6400 60 -9999 0   6400  60          -9999    0              2.07552     0.128053     0.174923
  10208303 73.8 62.322   0.368   0.902   0.109  62.322   0.271   1.386   0.079 6665 78 6268 144  -9999  0          -9999    0              -9999       0            0
  10709834 92.0 68.171   0.207   1.172   0.056 67.979   0.223   0.737   0.062  6508 60 6717 153  6508  60          -9999    0              4.97951     0.249488     0.266369
  10730618 85.5 66.164   0.269   1.059   0.075  66.228   0.280   1.528   0.080 6422 54 6591 144  -9999  0          -9999    0              2.78399     0.100742     0.105732
  10909629 82.0 49.811   0.268   0.939   0.093  49.519   0.178   1.473   0.060 6501 61 6246 170  -9999  0          1.220    0.101          -9999       0            0
  11081729 99.8 90.031   0.200   1.033   0.045  90.227   0.241   1.482   0.055 6630 60 6653 255  6630  60          1.887    0.103          -9999       0            0
  11128126 73.2 77.997   0.514   1.110   0.125 77.364   0.276   0.734   0.070  6250 55 6081 147  -9999  0          -9999    0              -9999       0            0
  11253226 99.5 77.304   0.202   0.807   0.051  77.120   0.145   1.340   0.036 6605 60 6955 162  6605  60          2.166    0.056          -9999       0            0
  11290197 58.0 74.561   0.466   0.852   0.123  74.869   0.668   1.286   0.171 6544 63 6429 180  -9999  0          -9999    0              -9999       0            0
  11401708 100. 39.909   0.171   1.310   0.067 39.996   0.139   0.704   0.056  5859 63 5847 151  -9999  0          -9999    0              1.35373     0.164615     0.201334
  12069127 77.3 48.471   0.132   1.012   0.045  48.421   0.042   1.494   0.015 6476 66 6578 142  -9999  0          -9999    0              2.65672     0.114800     0.121083
  12555505 91.8 107.197   0.631   1.525   0.125 108.076   0.606   0.842   0.116 5704 66 5999 158  -9999  0          -9999    0              -9999       0            0
