KIC Dnu Dnu_err eps eps_err d02 d02_err PTEFF PTEFF_ERR CTEFF CTEFF_ERR BTEFF BTEFF_ERR  lnGamma  err_lnGamma
  1435467   70.52   0.174   1.082 0.046   6.61   1.113   6264 60 6371 161   6264  60          1.318    0.036
  2991448   61.625  0.128   1.406 0.036   5.216  0.574   5836 70 5905 163   -9999  0          -9999    0
  3111383   18.26   0.068   1.346 0.045   2.376  0.095   5286 72 5187 102   -9999  0          -9999    0
  3427720   120.013 0.168   1.371 0.03    10.075 0.189   6040 60 6303 140   6040  60          0.542    0.093
  3429205   24.258  0.048   1.475 0.026   2.483  0.106   5116 62 5191 165   -9999  0          -9999    0
  3656476   93.063  0.092   1.477 0.02    4.212  0.169   5710 60 5786 137   5710  60          -9999    0
  3735871   122.722 0.131   1.387 0.023   10.643 0.615   6176 50 6430 181   -9999  0          1.012    0.137
  3852594   53.355  0.181   0.82  0.057   5.295  0.532   6674 89 7020 179   -9999  0          -9999    0
  4072740   18.343  0.039   1.439 0.026   2.248  0.035   5015 71 4948 139   -9999  0          -9999    0
  4346201   56.093  0.166   1.133 0.051   4.459  0.232   6147 51 5952 142   -9999  0          -9999    0
  4351319   24.454  0.069   1.469 0.038   2.287  0.076   5001 61 5076 126   -9999  0          -9999    0
  4554810   103.698 0.106   1.448 0.021   5.131  0.352   5577 86 5714 215   -9999  0          -9999    0
  5021689   63.685  0.126   1.121 0.036   6.089  0.883   6168 60 6280 151   6168  60          -9999    0
  5184732   95.381  0.085   1.414 0.018   5.711  0.152   5840 60 6137 131  5840  60          -9999    0
  5371516   55.378  0.144   1.048 0.044   3.952  0.47    6408 60 6544 226   6408  60          -9999    0
  5450445   56.879  0.216   1.221 0.067   4.42   0.306   6112 60 6056 135   6112  60          -9999    0
  5512589   68.152  0.12    1.382 0.032   5.501  0.271   5720 60 6031 149   5750  60          -9999    0
  5596656   20.933  0.084   1.347 0.05    2.802  0.054   5094 60 5207 156   5094  60          -9999    0
  5607242   40.515  0.077   1.397 0.029   3.818  0.232   5689 67 5474 116   -9999  0          -9999    0
  5689820   41.127  0.079   1.52  0.029   3.864  0.072   5114 80 5081 104   -9999  0          -9999    0
  5723165   34.363  0.052   1.472 0.022   3.195  0.301   5290 91 5460 105   -9999  0          -9999    0
  5822889   19.697  0.056   1.396 0.036   1.769  0.092   5220 68 5077 103   -9999  0          -9999    0
  5950854   96.657  0.205   1.424 0.042   4.933  0.509   5913 61 6148 146   -9999  0          -9999    0
  5955122   49.409  0.095   1.279 0.032   4.606  0.325   5837 60 6026 176   5837  60          -9999    0
  6106120   35.186  0.06    1.429 0.026   2.841  0.096   5329 58 5478 117   -9999  0          -9999    0
  6116048   100.946 0.134   1.301 0.028   6.237  0.258   5935 60 6050 239   5935  60          0.420    0.072
  6370489   52.138  0.155   1.069 0.05    4.647  0.285   6302 80 6270 135   -9999  0          -9999    0
  6531928   31.518  0.068   1.357 0.031   3.175  0.295   5333 64 5375 135   -9999  0          -9999    0
  6603624   110.181 0.085   1.486 0.016   4.579  0.074   5625 60 5883 162   5625  60         -0.423    0.078
  6693861   47.285  0.079   1.39  0.027   4.467  0.343   5937 80 6027 137   -9999  0          -9999    0
  6802438   34.586  0.072   1.403 0.031   3.288  0.149   5313 59 5317 94    -9999  0          -9999    0
  6863041   42.721  0.203   1.325 0.075   3.869  0.372   5570 68 5840 122   -9999  0          -9999    0
  6933899   72.24   0.127   1.297 0.033   4.491  0.15    5860 60 6014 144   5860  60          0.239    0.065
  7106245   111.284 0.168   1.412 0.031   8.161  0.536   6074 54 6083 129   -9999  0          0.312    0.182
  7107778   31.721  0.043   1.511 0.019   2.835  0.192   5129 82 5318 104   -9999  0          -9999    0
  7174707   47.348  0.133   1.439 0.046   4.76   0.195   5381 69 5475 101   -9999  0          -9999    0
  7216846   28.76   0.06    1.401 0.03    2.601  0.13    5124 84 5260 96    -9999  0          -9999    0
  7510397   62.257  0.126   1.119 0.037   4.536  0.212   6110 60 6388 215   6110  60          -9999    0
  7584900   22.062  0.043   1.477 0.026   2.713  0.086   4955 71 4895 85    -9999  0          -9999    0
  7680114   84.837  0.093   1.441 0.021   4.946  0.151   5855 60 5954 189   5855  60          -9999    0
  7799349   33.156  0.042   1.515 0.019   3.087  0.078   5115 60 5138 117   5115  60          -9999    0
  7871531   151.619 0.184   1.466 0.028   8.276  1.532   5400 60 5438 120   5400  60          0.122    0.146
  7970740   174.006 0.309   1.398 0.042   8.897  0.451   5290 60 5511 125   5290  60          -9999    0
  7976303   51.242  0.094   1.213 0.031   4.485  0.271   6053 60 6117 151   6053  60          -9999    0
  8006161   149.365 0.081   1.559 0.013   9.642  0.297   5390 60 5587 130  5390  60         -0.354    0.085
  8018599   27.76   0.1     1.329 0.05    2.195  0.125   6013 62 6069 138   -9999  0          -9999    0
  8150065   89.203  0.194   1.188 0.043   5.474  0.529   6265 58 6136 132   -9999  0          -9999    0
  8179536   95.121  0.145   1.15  0.031   6.874  0.507   6344 60 6559 134   6344  60          -9999    0
  8228742   62.124  0.142   1.153 0.041   4.119  0.302   6042 60 6339 193   6042  60          0.824    0.070
  8379927   120.248 0.147   1.323 0.027   10.386 0.589   6034 74 6067 147   -9999  0          0.815    0.066
  8394589   109.421 0.2     1.288 0.038   9.309  0.517   6114 60 6146 143   6114  60          0.942    0.085
  8424992   120.513 0.22    1.533 0.037   4.428  0.301   5807 57 6014 160   -9999  0          -9999    0
  8524425   59.75   0.111   1.384 0.032   4.785  0.134   5634 60 5682 129   5634  60          -9999    0
  8561221   29.739  0.05    1.423 0.024   2.703  0.089   5245 60 5492 143   5245  60          -9999    0
  8694723   75.1    0.136   1.122 0.035   5.024  0.458   6351 62 6283 136   -9999  0          1.148    0.051
  8702606   39.601  0.069   1.397 0.027   3.387  0.212   5540 60 5637 180   5540  60          -9999    0
  8738809   49.527  0.221   1.138 0.074   4.092  0.183   6090 60 6155 132   6090  60          -9999    0
  8938364   85.687  0.105   1.447 0.023   4.776  0.103   5630 60 5921 178   5630  60          -9999    0
  9025370   132.296 0.216   1.534 0.035   9.154  0.626   5659 73 6050 207   -9999  0         -0.173    0.188
  9073950   20.585  0.054   1.477 0.033   2.33   0.125   5281 70 5299 101   -9999  0          -9999    0
  9098294   108.924 0.11    1.436 0.021   5.992  0.461   5840 60 5867 127   5840  60          0.481    0.089
  9139151   117.216 0.156   1.359 0.029   10.839 0.575   6125 60 6221 188   6125  60          1.040    0.084
  9139163   80.662  0.098   1.143 0.024   6.004  0.754   6400 60 6623 168   6400  60          1.569    0.055
  9289275   66.851  0.137   1.169 0.038   5.22   0.263   6227 48 6048 134   -9999  0          -9999    0
  9410862   107.422 0.186   1.342 0.036   6.803  0.648   6230 53 6059 137   -9999  0          0.732    0.137
  9512063   49.717  0.116   1.277 0.039   4.513  0.268   5977 58 6106 153   -9999  0          -9999    0
  9574283   29.846  0.073   1.403 0.035   3.196  0.093   5431 64 5351 114   -9999  0          -9999    0
  9693187   80.061  0.153   1.378 0.036   5.123  0.261   5790 55 6210 172   -9999  0          -9999    0
  9700053   16.76   0.043   1.373 0.03    2.058  0.073   5159 63 5015 90    -9999  0          -9999    0
  9702369   93.626  0.211   1.164 0.046   8.417  0.61    6431 50 6419 199   -9999  0          -9999    0
  9955598   153.058 0.143   1.563 0.021   14.018 1.999   5410 60 5578 128   5410  60         -0.642    0.180
  10016239  102.331 0.343   0.985 0.069   10.629 0.496   6340 60 6487 174   6340  60          -9999    0
  10018963  55.412  0.153   1.105 0.048   4.719  0.257   6020 60 6359 162   6020  60          0.854    0.052
  10068307  53.944  0.137   1.143 0.044   3.57   0.361   6114 60 6437 201   6114  60          -9999    0
  10079226  116.189 0.172   1.387 0.031   9.361  0.524   6078 50 5990 139   -9999  0          -9999    0
# 10124866A  147.238 0.184   1.454 0.029   10.845 0.598   5755 60 -9999 0    5755  60          -9999    0
# 10124866B  155.553 0.238   1.487 0.034   11.036 1.204   5755 60 -9999 0    5755  60          -9999    0
  10130853  20.27   0.028   1.44  0.018   2.332  0.073   4945 78 4955 88    -9999  0          -9999    0
  10147635  37.269  0.165   1.209 0.068   3.515  0.159   6155 66 6014 122   -9999  0          -9999    0
  10162436  55.757  0.169   1.107 0.053   3.616  0.268   6220 60 6262 192  6200  60          0.981    0.064
  10272858  22.67   0.074   1.464 0.043   2.185  0.065   5208 68 5242 98    -9999  0          -9999    0
  10273246  48.783  0.227   1.106 0.077   3.866  0.629   6342 59 6256 126   -9999  0          -9999    0
  10339342  22.751  0.14    0.941 0.08    2.123  0.245   6250 67 6183 132   -9999  0          -9999    0
  10340511  91.75   0.129   1.352 0.027   5.999  0.212   6107 56 6116 153   -9999  0          -9999    0
  10355856  67.233  0.119   1.05  0.033   5.107  0.372   6350 60 6498 143   6350  60          1.754    0.079
  10454113  104.854 0.185   1.256 0.037   9.059  0.545   6120 60 -9999 0    6120  60          1.245    0.066
  10462940  104.61  0.154   1.271 0.031   8.944  0.422   6154 60 6239 241   6154  60          -9999    0
  10516096  84.343  0.114   1.342 0.026   5.479  0.226   5940 60 6102 183   5940  60          -9999    0
  10593351  31.422  0.166   1.226 0.076   3.174  0.405   5927 81 6213 130   -9999  0          -9999    0
  10644253  122.302 0.25    1.46  0.045   9.954  0.513   6030 30 6185 181   6030  60          0.805    0.137
  10873176  48.823  0.187   1.177 0.062   3.758  0.295   6517 89 6524 147   -9999  0          -9999    0
  10920273  57.35   0.173   1.382 0.053   4.434  0.276   5872 70 5869 131   -9999  0          -9999    0
  10923629  41.91   0.081   1.114 0.03    4.739  0.313   6214 60 6487 195   6214  60          -9999    0
  10937782  19.591  0.047   1.392 0.029   2.473  0.057   5199 68 5073 116   -9999  0          -9999    0
  10963065  103.006 0.117   1.319 0.024   7.214  0.353   6060 60 6165 143   6060  60          0.822    0.064
  10972873  58.586  0.112   1.313 0.034   4.901  0.23    5928 64 5845 158   -9999  0          -9999    0
  11026764  50.437  0.088   1.328 0.029   4.704  0.278   5682 60 5902 122   5682  60          -9999    0
  11137075  65.901  0.146   1.362 0.04    6.2    0.318   5590 60 5767 122   5590  60          -9999    0
  11193681  42.983  0.138   1.294 0.051   3.427  0.252   5697 77 6063 135   -9999  0          -9999    0
  11234888  41.547  0.169   1.128 0.064   3.763  0.485   6222 61 6215 154   -9999  0          -9999    0
  11244118  71.512  0.131   1.353 0.034   4.685  0.169   5745 60 5757 134   5745  60          -9999    0
  11395018  47.754  0.098   1.335 0.034   4.235  0.168   5650 59 5942 145   -9999  0          -9999    0
  11414712  44.017  0.08    1.287 0.029   4.001  0.271   5635 60 5844 147   5635  60          -9999    0
  11502597  70.205  0.095   1.384 0.025   5.023  0.316   5798 59 5765 154   -9999  0          -9999    0
  11554100  20.742  0.041   1.466 0.025   2.481  0.049   4913 78 4915 115   -9999  0          -9999    0
  11713510  69.244  0.081   1.341 0.021   5.762  0.274   5941 58 5814 144   -9999  0          -9999    0
  11717120  37.874  0.088   1.414 0.035   3.302  0.433   5150 60 5258 111   5150  60          -9999    0
  11771760  32.212  0.164   1.201 0.075   2.917  0.212   6075 70 6066 128   -9999  0          -9999    0
  11772920  158.173 0.303   1.459 0.045   9.518  0.893   5412 57 5440 117   -9999  0         -0.241    0.174
  11968749  18.727  0.035   1.466 0.023   2.116  0.05    5136 70 5149 116   -9999  0          -9999    0
  12009504  87.969  0.153   1.263 0.035   6.399  0.454   6065 60 6199 190   6065  60          0.628    0.092
  12258514  74.835  0.112   1.277 0.029   4.5    0.213   5990 60 6246 142   5990  60          0.515    0.053
  12307366  21.594  0.032   1.454 0.02    2.24   0.069   5064 79 5064 100   -9999  0          -9999    0
  12317678  63.54   0.164   0.9   0.045   4.846  0.484   6549 48 6413 226   -9999  0          1.594    0.058
  12508433  44.953  0.077   1.449 0.028   3.962  0.135   5257 74 5415 164   -9999  0          -9999    0
