KICID|kepmag|Length_Quarters|Length_days|numax|numax_err|dnu|dnu_err|amplitude|amplitude_err|fwhm|fwhm_err|maxbg|maxbg_err|
    757137|    9.20| 17|  1308.7|   29.99|    0.60|   3.399|   0.011|  104.9|    4.6|   12.3|    1.5|   2787.2|    286.3|
    892010|   11.67|  4|   206.3|   17.85|    0.89|   2.427|   0.078|  196.0|   20.5|    8.5|    2.5|  17002.1|   3464.7|
    892738|   11.73| 18|  1318.1|    7.48|    0.35|   1.300|   0.031|  384.4|   35.5|    3.4|    0.7| 141955.4|  12636.8|
    892760|   13.23|  6|   380.8|   29.48|    0.48|   3.962|   0.116|  149.7|    8.3|   12.0|    3.9|   6319.1|   1108.3|
    893214|   12.58| 15|  1211.9|   41.39|    0.54|   4.311|   0.013|   86.1|    4.6|   15.3|    1.6|   1337.0|    289.9|
    893233|   11.44|  8|   638.9|    6.15|    0.12|   1.176|   0.018|  563.5|   50.6|    2.3|    0.3| 174726.9|  18712.7|
   1026084|   12.14| 15|  1139.0|   41.17|    0.90|   4.414|   0.061|   63.8|    2.9|   24.8|    2.7|    733.1|    165.0|
   1026180|   11.74|  4|   206.3|   36.91|    0.71|   3.991|   0.064|  116.1|    9.6|   14.0|    2.4|   1641.2|    697.8|
   1026309|   10.60| 18|  1318.1|   16.86|    0.76|   1.927|   0.029|  114.4|    8.5|    6.7|    0.9|  13065.8|   1023.8|
   1026326|   13.26| 17|  1308.7|   94.86|    0.65|   8.830|   0.019|   59.1|    2.4|   29.6|    1.6|    154.0|     33.5|
   1026452|   12.94| 18|  1318.1|   34.50|    0.52|   3.967|   0.078|   83.3|    4.3|   13.6|    1.1|   1692.1|    325.7|
   1027110|   12.10| 18|  1318.1|    6.62|    0.19|   1.152|   0.016|  527.9|   46.1|    2.7|    0.4| 193688.2|  18167.0|
   1027337|   12.11| 18|  1318.1|   74.21|    0.68|   6.937|   0.014|   66.8|    2.8|   23.8|    1.1|    534.7|     52.1|
   1027582|   13.88| 17|  1308.7|  157.75|    1.06|  12.633|   0.018|   46.6|    2.2|   42.7|    2.7|     49.3|     14.1|
   1028267|   13.28|  8|   638.9|  103.13|    0.83|   9.468|   0.017|   54.8|    2.0|   30.8|    2.4|     89.1|     15.1|
   1160684|   14.91| 17|  1308.7|   26.38|    0.97|   3.361|   0.223|  121.1|    8.3|   20.9|    3.5|   1184.2|    426.7|
   1160789|    9.70| 18|  1318.1|   24.72|    0.62|   3.509|   0.048|  149.0|    7.3|   11.1|    1.5|   9115.0|    643.5|
   1161447|   12.61|  7|   467.3|   36.18|    1.55|   4.125|   0.057|  100.3|    4.2|   15.5|    1.6|   3105.1|    255.4|
   1161618|   10.22| 18|  1318.1|   34.32|    0.50|   4.108|   0.028|  121.7|    5.5|   14.4|    1.8|   2954.8|    410.5|
   1162220|   11.22| 18|  1318.1|   11.00|    0.32|   1.668|   0.021|  311.6|   20.5|    4.9|    0.7|  54925.9|   5161.3|
   1162746|   11.45| 18|  1318.1|   27.38|    0.77|   3.703|   0.111|  140.5|    6.2|   12.3|    1.9|   6804.2|    611.0|
   1163114|   12.72| 17|  1308.7|   14.24|    0.44|   1.898|   0.016|  212.6|   16.4|    5.9|    0.9|  29147.4|   2741.9|
   1163359|   12.03| 15|  1139.0|   21.43|    0.41|   2.642|   0.015|  132.1|    7.1|    8.0|    0.9|   7264.5|    724.2|
   1163453|   11.98| 15|  1139.0|   40.33|    0.82|   4.415|   0.065|   87.4|    4.2|   15.5|    1.2|   2176.9|    174.0|
   1163621|   11.79| 17|  1292.3|   51.32|    0.71|   5.013|   0.033|   55.8|    2.3|   20.8|    1.8|    789.5|     48.6|
   1164301|   13.93| 15|  1211.9|   57.93|    0.41|   5.959|   0.021|   84.5|    8.4|   11.8|    1.3|   2410.3|    263.3|
   1164584|   14.30| 17|  1308.7|   28.58|    0.36|   3.361|   0.012|  189.9|   11.6|   10.0|    0.9|   8898.6|   1033.3|
   1292147|   15.23| 17|  1308.7|   88.14|    0.83|   8.079|   0.027|   72.9|    5.3|   26.6|    2.8|    194.4|     55.8|
   1294122|   11.94| 18|  1318.1|   75.62|    0.84|   7.022|   0.016|   50.2|    2.9|   21.8|    1.5|    537.5|     46.7|
   1294385|   10.65| 18|  1318.1|  106.81|    1.08|   9.090|   0.016|   37.0|    2.2|   30.6|    2.1|    222.0|     38.8|
   1294578|   13.94| 15|  1211.9|   49.15|    0.47|   5.377|   0.015|   97.5|    6.1|   15.4|    1.3|   1681.3|    187.1|
   1294924|   13.78| 17|  1308.7|   36.27|    1.59|   4.231|   0.087|  100.6|    9.5|   14.8|    5.2|   4136.9|   1182.6|
   1295017|   13.85|  7|   548.1|   27.19|    0.62|   3.903|   0.026|  151.3|    8.0|   13.9|    2.0|   6325.2|    760.4|
   1295475|   12.45|  8|   557.6|   40.05|    0.59|   4.282|   0.051|   91.4|    3.3|   17.6|    2.0|   2328.6|    158.6|
   1296068|   12.82|  8|   557.6|   59.56|    0.49|   6.140|   0.013|   86.0|    3.9|   19.1|    1.4|    988.9|     82.5|
   1296179|   13.28| 17|  1308.7|   41.82|    1.25|   4.520|   0.031|   61.0|    4.8|   14.3|    1.6|   1837.3|    230.3|
   1296507|   12.84| 17|  1308.7|  126.62|    2.42|  10.333|   0.019|   21.7|    1.3|   39.9|   10.7|     57.2|      6.3|
   1297272|   13.81| 15|  1211.9|   31.79|    1.42|   4.240|   0.034|  115.7|    6.0|   15.3|    8.3|   6511.9|    543.2|
   1429497|  13.537| 18| 1318.12|  234.61|    3.17|  16.733|   0.070|     --|     --|     --|     --|     --|     --|
   1429505|   11.96| 18|  1318.1|   55.78|    0.50|   5.755|   0.010|   88.6|    3.6|   17.3|    0.8|   1139.2|     64.4|
   1429629|   15.19| 17|  1308.7|   63.33|    0.79|   6.263|   0.013|   88.7|    5.7|   15.7|    2.8|   1630.9|     96.1|
   1430118|   13.52| 18|  1318.1|  160.91|    0.95|  13.320|   0.018|   47.5|    2.4|   41.4|    2.2|     50.9|     11.9|
   1430912|   12.79|  6|   457.8|   32.65|    0.72|   3.912|   0.068|  118.8|    4.8|   13.7|    1.3|   3971.5|    412.0|
   1430985|   13.05| 18|  1318.1|  120.79|    0.98|  10.448|   0.022|   42.1|    1.3|   37.4|    6.7|     61.8|     10.2|
   1431059|   13.12| 18|  1318.1|  171.02|    0.86|  13.670|   0.018|   45.0|    2.6|   44.8|    2.5|     81.7|     28.2|
   1431316|   13.15| 18|  1318.1|   37.40|    0.66|   4.316|   0.037|  114.1|    5.5|   14.9|    1.1|   3513.2|    353.1|
   1432587|   11.55| 18|  1318.1|    5.38|    0.30|   1.070|   0.013|  453.1|   49.9|    2.6|    0.7| 342861.7|  32465.4|
   1432825|   13.92| 17|  1308.7|  177.11|    2.62|  13.669|   0.024|   34.5|    2.6|   71.8|   11.6|     18.8|      5.8|
   1433132|   13.62|  8|   632.7|   38.74|    0.64|   4.361|   0.018|  117.3|    4.9|   15.3|    2.1|   1065.7|    300.5|
   1433593|   11.52| 18|  1318.1|   69.14|    0.59|   6.241|   0.013|   36.5|    3.1|   21.2|    2.7|    393.6|     75.6|
   1433730|   10.89| 18|  1318.1|   40.37|    0.54|   4.085|   0.019|   65.8|    3.0|   15.6|    1.4|   1418.1|     81.1|
   1433803|   10.19| 18|  1318.1|  150.14|    1.04|  12.178|   0.015|   44.5|    1.9|   41.3|    1.9|     51.1|      7.3|
   1434395|   12.55|  7|   467.3|   24.41|    1.27|   3.667|   0.091|  144.8|    6.6|   12.2|    8.0|   8037.7|    853.7|
   1435573|   11.41| 18|  1318.1|   25.71|    0.64|   3.641|   0.083|  160.0|    7.8|   10.9|    1.1|   9689.2|    615.4|
   1569823|   10.64|  2|    41.9|   43.99|    4.33|   5.425|   0.405|   86.3|   23.8|   15.3|    4.5|   2475.2|    591.4|
   1569842|   11.09| 18|  1318.1|  135.02|    0.65|  11.768|   0.018|   54.5|    2.1|   35.5|    1.2|    114.8|     24.0|
   1571780|   10.61| 17|  1235.8|   49.00|    1.19|   4.464|   0.032|   43.1|    3.3|   17.1|    2.0|   1260.3|     40.9|
   1572049|   11.57| 17|  1308.7|   51.54|    2.44|   5.188|   0.048|   29.8|    6.8|   18.3|    6.8|    957.3|    164.0|
   1572175|   11.86| 15|  1139.0|   56.04|    0.67|   5.369|   0.012|   62.9|    2.4|   20.1|    1.6|    765.4|     54.4|
   1572317|   12.08| 18|  1318.1|  197.27|    1.05|  14.722|   0.048|   20.4|    1.0|   57.3|    3.2|      6.8|      1.4|
   1572780|   10.27| 17|  1235.8|   18.15|    0.54|   2.638|   0.087|  132.7|    8.5|    8.0|    2.5|  12325.5|    994.2|
   1573925|   13.65| 17|  1308.7|  124.25|    1.05|  10.796|   0.022|   45.9|    2.2|   42.7|    7.5|     70.9|     18.9|
   1575886|   11.40| 17|  1308.7|  100.80|    1.28|   8.077|   0.036|   32.4|    1.2|   43.1|    3.4|     94.7|     22.5|
   1576043|   12.49| 18|  1318.1|    5.43|    0.34|   0.933|   0.026|  540.9|   48.5|    2.6|    0.6| 417837.3|  42646.6|
   1576420|   12.23|  7|   467.3|   44.60|    0.59|   4.858|   0.017|  103.0|    4.6|   15.6|    1.2|   1766.1|    139.7|
   1576469|   10.36| 18|  1318.1|   90.40|    0.96|   7.407|   0.034|   37.2|    1.3|   34.4|    1.9|    190.5|     24.5|
   1576646|   13.34| 17|  1292.3|   84.47|    1.11|   7.670|   0.013|   61.8|    2.7|   29.4|    1.7|    237.8|     72.2|
   1577143|   10.18| 18|  1318.1|   35.02|    1.00|   3.836|   0.031|   71.3|    2.7|   15.1|    1.1|   2131.5|    109.2|
   1701763|   13.92|  5|   371.3|   29.36|    1.01|   3.577|   0.044|  103.0|    8.7|    9.7|    4.0|   7542.9|    822.6|
   1717618|   11.70| 18|  1318.1|  120.51|    1.17|   9.673|   0.016|   27.5|    1.5|   42.8|    8.2|     99.8|     17.8|
   1717783|   13.24|  7|   467.3|   34.64|    3.03|   4.085|   0.027|  117.1|    5.2|   16.6|    3.5|   3948.6|    392.5|
   1717994|   13.78| 14|  1125.9|   31.48|    0.49|   4.143|   0.064|  164.1|    9.4|   12.3|    1.3|  10905.4|    852.1|
   1718743|   13.74|  7|   548.1|   29.63|    0.53|   3.974|   0.034|  143.5|    7.3|   10.5|    1.3|   6938.5|    732.8|
   1719065|   13.42|  2|   114.1|   10.08|    0.43|   1.553|   0.186|  309.2|   56.4|    3.6|    0.8|  50634.5|  11598.6|
   1719297|   11.64| 18|  1318.1|    7.23|    0.47|   1.161|   0.059|  331.8|   29.7|    4.0|    1.0| 120000.0|  12898.6|
   1719422|   12.92| 18|  1318.1|  136.07|    0.80|  11.316|   0.017|   40.0|    1.6|   41.0|    2.5|     62.0|     13.1|
   1720241|  12.931|  9|  639.92|  212.06|    2.91|  15.984|   0.035|     --|     --|     --|     --|     --|     --|
   1720425|   10.78| 18|  1318.1|   28.12|    0.58|   3.742|   0.028|  112.5|    6.3|   12.4|    2.5|   3166.0|    704.0|
   1721071|   13.83|  6|   457.8|   30.28|    1.85|   3.847|   0.088|   90.0|   10.2|   19.0|    6.6|   4805.9|   1178.2|
   1721595|   13.92| 17|  1308.7|  156.19|    1.01|  13.183|   0.027|   47.0|    2.7|   40.6|    2.8|     47.4|     17.2|
   1723047|   12.37| 18|  1318.1|  142.81|    1.63|  11.425|   0.017|   22.4|    1.3|   42.6|    6.2|     33.8|      7.0|
   1723191|   13.57|  2|   114.1|    9.51|    1.27|   1.466|   0.122|  285.6|   59.1|    4.9|    1.3|  82675.2|  16231.1|
   1723656|   12.92|  7|   467.3|   30.89|    0.98|   3.860|   0.055|  114.0|    4.3|   15.4|    3.0|   4030.1|    255.1|
   1723700|   13.77| 15|  1211.9|   40.29|    0.83|   4.518|   0.039|   84.0|    4.2|   16.6|    1.3|   2442.4|    151.8|
   1723752|   12.33| 18|  1318.1|  197.28|    0.86|  15.042|   0.075|   30.9|    1.4|   49.6|    3.7|     25.9|      6.2|
   1723843|   12.23| 18|  1318.1|  108.00|    0.77|   9.410|   0.023|   38.9|    3.0|   29.7|    2.8|     58.5|      7.2|
   1725183|   11.85|  3|   196.9|   47.10|    1.64|   4.424|   0.483|   68.9|    7.3|   17.6|    3.6|   1193.1|    423.6|
   1725190|    9.22| 18|  1318.1|   98.48|    1.54|   7.894|   0.047|   30.4|    1.5|   37.8|    3.0|    114.8|     27.3|
   1725552|   10.89| 18|  1318.2|    8.93|    0.82|   1.214|   0.022|  172.1|   23.1|    3.0|    1.0|  94901.2|   8626.9|
   1725626|   12.23|  8|   557.6|   33.53|    0.89|   4.068|   0.043|  131.5|    5.9|   15.3|    2.0|   4317.4|    387.0|
   1725796|   13.62|  7|   548.2|   41.62|    0.63|   4.557|   0.145|   80.5|    4.3|   17.9|    1.6|   1467.1|    288.9|
   1725952|   13.33|  5|   371.4|   33.13|    0.56|   3.897|   0.058|  132.7|    6.7|   13.5|    1.2|   4869.6|    535.8|
   1726211|   10.93| 18|  1318.2|   30.70|    0.63|   3.699|   0.067|   88.2|    4.9|   12.6|    1.2|   3643.5|    198.2|
   1726245|   11.57| 10|   704.4|   46.52|    1.13|   4.892|   0.048|   52.3|    4.1|   19.7|    1.2|   1379.2|     90.7|
   1726291|   12.86| 18|  1318.2|  149.79|    0.88|  12.864|   0.024|   47.4|    1.9|   37.9|    1.4|     49.5|     10.4|
   1849462|   13.76| 17|  1308.5|  164.74|    1.09|  13.223|   0.023|   45.8|    2.2|   43.1|    2.6|     39.2|     11.0|
   1849679|   12.85| 18|  1317.9|   45.87|    0.51|   5.183|   0.019|   94.3|    4.8|   14.5|    0.9|   1736.7|    125.5|
   1850285|   13.63|  7|   556.4|   54.57|    0.67|   5.044|   0.026|   49.5|    4.7|   14.7|    2.1|   1041.1|    180.9|
   1864183|   11.34| 18|  1318.1|   54.12|    0.48|   5.505|   0.015|   88.4|    4.5|   17.7|    1.0|   1128.9|     67.4|
   1864855|   11.55| 18|  1318.1|  124.78|    1.45|  10.444|   0.011|   33.8|    1.6|   44.3|    5.1|     69.3|     12.5|
   1864959|    8.81| 18|  1318.1|   40.69|    0.85|   4.486|   0.038|   76.8|    3.5|   16.6|    1.3|   1685.5|     96.6|
   1865102|   13.83| 15|  1211.9|   82.07|    0.52|   7.899|   0.017|   74.0|    2.8|   24.6|    1.4|    149.5|     27.2|
