KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
757137|4751|139|2.383|0.012|-0.08|0.30|1.70|0.14|13.91|0.41|1.55|0.13|13.26|0.39|1.72|0.14|13.97|0.41|1|
892010|4834|151|2.161|0.023|0.21|0.30|1.42|0.29|16.37|1.38|1.36|0.28|16.02|1.34|1.43|0.30|16.47|1.39|0|
892738|4534|135|1.769|0.022|-0.25|0.30|1.15|0.21|23.15|1.62|0.99|0.18|21.49|1.48|1.12|0.20|22.86|1.60|0|
892760|5188|183|2.394|0.011|-0.21|0.30|1.00|0.14|10.51|0.68|1.04|0.15|10.74|0.70|1.00|0.14|10.52|0.68|2|
893214|4728|80|2.522|0.008|-0.15|0.15|1.72|0.10|11.90|0.26|1.54|0.09|11.29|0.24|1.72|0.10|11.92|0.26|1|
893233|4207|147|1.668|0.012|0.22|0.30|0.86|0.09|22.43|0.95|0.71|0.07|20.46|0.84|0.84|0.09|22.28|0.94|0|
1026084|5072|166|2.534|0.013|-0.12|0.30|1.71|0.18|11.69|0.48|1.67|0.17|11.55|0.48|1.75|0.18|11.83|0.49|2|
1026180|4718|148|2.471|0.012|-0.02|0.30|1.65|0.17|12.37|0.53|1.50|0.16|11.80|0.50|1.67|0.17|12.43|0.53|2|
1026309|4514|80|2.121|0.020|0.25|0.15|2.71|0.42|23.71|1.35|2.60|0.40|23.22|1.32|2.73|0.42|23.78|1.35|0|
1026326|5123|162|2.899|0.009|-0.41|0.30|1.32|0.08|6.77|0.15|1.30|0.08|6.70|0.15|1.36|0.09|6.85|0.16|1|
1026452|5089|154|2.458|0.010|-0.11|0.30|1.55|0.17|12.15|0.57|1.53|0.16|12.08|0.57|1.58|0.17|12.27|0.58|2|
1027110|4190|80|1.699|0.014|-0.27|0.15|1.15|0.13|25.09|1.09|0.99|0.11|23.27|0.99|1.11|0.12|24.66|1.07|0|
1027337|4671|80|2.772|0.007|0.29|0.15|1.45|0.08|8.19|0.16|1.34|0.07|7.89|0.15|1.46|0.08|8.23|0.16|1|
1027582|5039|155|3.116|0.008|-0.10|0.30|1.42|0.09|5.45|0.12|1.39|0.09|5.41|0.12|1.44|0.09|5.50|0.12|1|
1028267|5242|183|2.940|0.009|-0.17|0.30|1.33|0.09|6.47|0.16|1.38|0.09|6.58|0.16|1.35|0.09|6.53|0.16|1|
