ID,teff,teff_error,dnu,dnu_error,numax,numax_error,bp_rp,eps,eps_error,eps_mod
1162746,4989,100,3.703,0.111,27.38,0.77,1.2559566,0.793285763756202,0.02911655142345,0.793285763756202
1432587,4443,100,1.07,0.013,5.38,0.3,1.5372,0.530220417822534,0.039404885985389,0.530220417822534
1433593,4956,100,6.241,0.013,69.14,0.59,1.3270245,1.08134554096078,0.009676035064805,1.08134554096078
1433730,4767,100,4.085,0.019,40.37,0.54,1.4249544,1.01896186288301,0.013223794900419,1.01896186288301
1435573,4821,100,3.641,0.083,25.71,0.64,1.3505278,0.608581805209878,0.025289978525596,0.608581805209878
1576469,5217,100,7.407,0.034,90.4,0.96,1.1405525,1.07463482797707,0.008954850111138,1.07463482797707
1720425,4758,100,3.742,0.028,28.12,0.58,1.4360466,0.652059842026408,0.016524781723123,0.652059842026408
1726211,4995,100,3.699,0.067,30.7,0.63,1.2241774,0.933014773668237,0.014181567210625,0.933014773668237
1864855,5083,100,10.444,0.011,124.78,1.45,1.2849493,1.4730411151648,0.00288855683693,1.4730411151648
2018392,4908,100,3.795,0.013,33.92,0.55,1.4171124,1.005627777397,0.014560341564691,1.005627777397
2140446,4665,100,5.673,0.012,57.6,0.56,1.4466972,1.10685605109628,0.009550278875398,1.10685605109628
2141928,4757,100,4.133,0.042,33.73,0.75,1.3388624,0.76286851096462,0.021042321485837,0.76286851096462
2142095,4932,100,3.719,0.028,29.9,1.05,1.2628126,0.673270208986096,0.023072395395171,0.673270208986096
2283075,4688,80,6.47,0.014,69.12,0.61,1.304986,1.08812203471197,0.009379276700147,1.08812203471197
2285898,4774,80,3.794,0.053,24.82,0.59,1.2601976,0.612490507574434,0.02481776247001,0.612490507574434
2297384,4534,80,3.743,0.053,31.07,0.9,1.528552,0.921432606738308,0.013525168714995,0.921432606738308
2297825,4580,80,3.79,0.072,31.4,0.76,1.5456877,0.963215009799348,0.020181156346904,0.963215009799348
2303367,4862,100,4.09,0.021,34.06,0.94,1.3283978,0.934227539285943,0.014456075618099,0.934227539285943
2305930,4891,100,3.959,0.133,27.23,0.88,1.2914505,0.609384757229397,0.029886123249812,0.609384757229397
2307683,4799,100,4.309,0.012,39.95,0.51,1.3692789,1.02381215939424,0.010229626132236,1.02381215939424
2309469,4710,100,3.541,0.031,28.3,0.51,1.4371767,0.615517119981788,0.019787217686515,0.615517119981788
2423824,5096,100,2.686,0.048,22.02,0.51,1.1872253,0.660518899890081,0.03025763779473,0.660518899890081
2424822,5060,100,8.06,0.013,95,0.9,1.2933388,1.10818853604599,0.007751563426172,1.10818853604599
2424934,4963,100,3.988,0.034,33.7,0.56,1.253499,0.939462845026662,0.010877915936838,0.939462845026662
2435987,4448,80,4.203,0.014,38.54,0.6,1.6088829,1.00352112131736,0.010260871860553,1.00352112131736
2436097,4550,143,4.514,0.012,42.74,0.61,1.6048393,1.47331714971011,0.012352610115417,1.47331714971011
2436209,4500,80,5.724,0.017,57.88,0.57,1.5238171,1.06000222935347,0.010649164463281,1.06000222935347
2436332,4196,124,3.396,0.013,28.45,0.57,1.6349087,0.990044021928787,0.011536757847288,0.990044021928787
2436417,4506,80,3.454,0.023,27.08,0.62,1.5333319,0.649875191114667,0.028845251616341,0.649875191114667
2436458,4481,143,4.152,0.01,37.76,0.79,1.6225948,0.769099083174859,0.018505115286313,0.769099083174859
2436540,4486,80,5.786,0.016,58.37,0.8,1.5442219,1.09962272894336,0.009387919044405,1.09962272894336
2436676,4820,166,11.31,0.084,133.61,2.9,1.4604702,1.24351809661192,0.024605246995081,1.24351809661192
2436688,4791,100,7.211,0.016,76.3,0.96,1.5054512,1.11517674228216,0.009924869996599,1.11517674228216
2436732,4718,154,3.686,0.032,31.07,0.81,1.4959764,0.930229650924725,0.016720232935301,0.930229650924725
2436814,4225,123,3.115,0.013,24.24,0.43,1.6270666,0.99365413592698,0.011849042058112,0.99365413592698
2436824,4218,124,3.852,0.013,33.99,0.36,1.6439514,0.76114092783141,0.014545180121165,0.76114092783141
2436900,4423,80,4.035,0.016,35.79,0.5,1.5772161,1.01341614917127,0.012676881861901,1.01341614917127
2437040,4352,80,3.065,0.015,25.59,0.56,1.6357031,1.01305998274124,0.01065686538617,1.01305998274124
2437103,4731,171,3.789,0.047,29.1,1.59,1.5469961,0.733902366296043,0.015242444414115,0.733902366296043
2437240,4638,149,4.843,0.012,45.74,0.74,1.5571728,1.07377305034992,0.010004887755206,1.07377305034992
2437340,4119,80,1.372,0.012,8.48,0.2,1.8937159,0.569233246277357,0.03430407912788,0.569233246277357
2437353,4553,80,3.859,0.032,32.05,0.81,1.489048,0.736542998716716,0.019610079543506,0.736542998716716
2437402,4308,124,4.792,0.027,48.27,0.84,1.5703287,1.03365674687276,0.011396736699523,1.03365674687276
2437444,4351,143,2.454,0.017,19.1,0.47,1.7132568,0.684500888422527,0.019950276778783,0.684500888422527
2437488,4735,153,6.27,0.018,63.99,0.73,1.5259209,1.08064466769678,0.012460930407168,1.08064466769678
2437507,4312,80,2.606,0.011,20.55,0.32,1.6861391,0.621074109713956,0.020895324615573,0.621074109713956
2437564,4522,80,3.836,0.042,32.83,0.86,1.5236053,0.676094897111795,0.021098768521923,0.676094897111795
2437589,4185,125,4.608,0.014,46.72,0.87,1.521555,1.03414639355179,0.014430124126386,1.03414639355179
2437653,4389,125,7.01,0.016,73.88,0.63,1.5310698,1.1106814048843,0.009317098886936,1.1106814048843
2437698,4263,125,3.732,0.025,31.07,1.05,1.5252428,0.65236430672432,0.023104824058635,0.65236430672432
2437781,4745,150,7.805,0.031,85.02,0.72,1.5097876,1.12878101435251,0.013504761398816,1.12878101435251
