,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
8307,KIC7957822,4823,80,29.15,0.58,3.8989999999999996,0.047,1.261826515197754,0.05,1.4646385590950328,3.6833172619218826,5.5964748648284015
2364,KIC4455406,4913,80,53.82,1.59,5.019,0.021,1.2773046493530271,0.05,1.7309436934277358,3.691346764134822,5.595083148024735
14208,KIC11180994,4860,100,68.86,0.7,6.497000000000001,0.018000000000000002,1.2899665832519531,0.05,1.8379670183686547,3.686636269262293,5.593969684325471
10587,KIC9278055,4886,149,38.89,0.97,4.31,0.023,1.324049949645996,0.05,1.58983794314746,3.688953462637418,5.5918767056417
6974,KIC7188868,4664,100,34.22,0.63,4.1419999999999995,0.026000000000000002,1.3676271438598633,0.05,1.5342800052050816,3.668758541750958,5.591561857836477
9486,KIC8561202,4925,80,61.44,0.58,5.809,0.013999999999999999,1.2671670913696291,0.05,1.7884512070234555,3.6924062348336304,5.590985566438116
5535,KIC6356545,4772,100,62.14,0.43,6.273,0.013000000000000001,1.2882871627807615,0.05,1.7933712489189555,3.6787004349983037,5.590335513700725
13368,KIC10718902,4801,80,30.44,0.65,3.908,0.067,1.2317733764648438,0.05,1.4834446480985353,3.6813317059691664,5.589961808756579
1085,KIC3444029,4783,80,64.72,0.89,6.145,0.012,1.302480697631836,0.05,1.811038508604216,3.679700380871964,5.5879842745501564
2353,KIC4447974,4751,80,57.24,0.58,5.7970000000000015,0.015,1.3636226654052734,0.05,1.7576996250877388,3.6767850304192056,5.587961371475898
5653,KIC6429747,4728,80,55.16,2.41,5.143,0.048,1.3149995803833008,0.05,1.741624257503812,3.674677467873199,5.587888268289883
7641,KIC7601720,4683,80,32.47,0.62,3.907,0.028999999999999998,1.3200464248657229,0.05,1.5114822886260015,3.67052415778208,5.586305607556762
7154,KIC7288529,4910,146,28.51,0.8,3.853,0.027000000000000003,1.3162317276000977,0.05,1.45499721730946,3.6910814921229687,5.586181426184198
14396,KIC11286526,5068,149,102.47,1.14,9.261000000000001,0.023,1.163618087768555,0.05,2.010596736206525,3.704836606211404,5.585085577251307
9825,KIC8753234,4848,80,57.17,0.92,5.415,0.025,1.2270002365112305,0.05,1.7571681922142726,3.68556261115823,5.584833853910536
9561,KIC8611394,5015,100,104.96,0.71,9.64,0.016,1.1999330520629885,0.05,2.021023822031585,3.7002709373564366,5.584109006618704
7587,KIC7585640,4928,149,45.01,0.74,4.841,0.032,1.2959651947021484,0.05,1.6533090129384789,3.6926706991563685,5.582587758285111
10650,KIC9292208,4865,80,61.45,0.57,6.165,0.016,1.2504339218139648,0.05,1.7885218872224729,3.68708284460437,5.581581827977943
10244,KIC9034557,4858,100,42.96,0.62,4.364,0.027000000000000003,1.3497867584228516,0.05,1.6330642726914992,3.686457510469112,5.581071552358796
9700,KIC8677342,4955,100,51.73,0.48,5.216,0.015,1.2391328811645508,0.05,1.7137424784090824,3.6950436588212936,5.580821198726233
12367,KIC10153785,4674,80,32.78,0.41,3.9730000000000003,0.017,1.3315067291259766,0.05,1.5156089492344802,3.6696887080562077,5.580645277511313
11748,KIC9846977,4675,80,32.67,0.57,4.088,0.034,1.3765239715576172,0.05,1.5141491344754374,3.669781615208537,5.5805693044800595
14500,KIC11339000,4958,100,38.45,0.56,4.31,0.026000000000000002,1.237370491027832,0.05,1.58489634413745,3.6953065224318022,5.580180788423707
13338,KIC10684584,4914,80,29.47,0.46,3.844,0.10300000000000001,1.2974281311035156,0.05,1.4693801358499252,3.691435152144062,5.58005314935897
