Title: The First APOKASC Catalog of Kepler Dwarf and Subgiant Stars
Authors: Aldo Serenelli, Jennifer Johnson, Daniel Huber, Marc Pinsonneault,
	 Warrick H. Ball, Jamie Tayar, Victor Silva Aguirre, Sarbani Basu,
	 Nicholas Troup, Saskia Hekker, Thomas Kallinger, Dennis Stello,
	 Guy R. Davies, Mikkel N. Lund, Savita Mathur, Benoit Mosser,
	 Keivan G. Stassun, William J. Chaplin, Yvonne Elsworth,
	 Rafael A. Garcia, Rasmus Handberg, Jon Holtzman2, Fred Hearty,
	 D. A. Garcia-Hernandez, Patrick Gaulme, and Olga Zamora
Table: Seismic properties of the APOKASC dwarfs sample
============================================================================
Byte-by-byte description
----------------------------------------------------------------------------
   Bytes  Format  Units  Label      Explanation
----------------------------------------------------------------------------
  1- 10    A10    ----   KIC        KIC identification number
 12- 19    F8.3   muHz   numax      Frequency of maximum power
 21- 28    F8.3   muHz   enumax     numax error
 30- 37    F8.3   muHz   Dnu        Large frequency separation
 39- 46    F8.3   muHz   eDnu       Dnu error
 48- 55    F8.3   days   Length     Length of Kepler time series
 57- 64    F8.3   ----   HBR        Height-to-background ratio
----------------------------------------------------------------------------
KIC numax enumax Dnu eDnu Length HBR
   1435467 1382.311   19.038   70.558    0.087  938.100    1.662 
   2010607  674.919  146.523   42.479    2.185   28.900    1.547 
   2309595  643.208   11.226   39.029    0.721   28.900    1.767 
   2450729 1053.105  114.904   61.910    2.539   28.900    1.470 
   2837475 1629.761   18.396   75.720    0.129 1029.400    1.767 
   2849125  722.576   27.254   41.322    1.970   24.900    1.624 
   2852862  983.522   16.419   53.556    0.149  523.700    1.411 
   2991448 1111.248   18.148   61.732    0.899   92.600    1.609 
   2998253 1884.738  226.070   87.227    5.653   31.000    1.049 
   3112152 1221.493   54.117   65.130    2.122   26.100    1.231 
   3112889  871.525   65.675   53.709    1.865   31.000    1.451 
   3115178  428.866    7.731   28.414    0.728   29.400    3.308 
   3223000 2573.222  563.234  110.919    1.662   32.400    1.102 
   3241581 2807.592  395.565  123.412    2.821   30.000    1.105 
   3329196  435.093   31.154   29.604    1.193   31.100    7.560 
   3424541  769.626   10.207   41.291    0.122  931.000    1.702 
   3427720 2726.381   56.767  120.045    0.120  963.800    1.125 
   3429205  371.041    4.536   24.296    0.098  683.000    3.970 
   3430893 1700.054   88.249   80.813    3.933   28.400    1.247 
   3437637  834.621   45.394   48.084    1.996   24.900    1.496 
   3438633  964.992   37.231   55.725    2.223   24.900    1.614 
   3545753  749.341   66.324   43.288    1.165   30.000    1.717 
   3630240  253.379    6.169   18.327    0.310   28.500    3.109 
