Title: The First APOKASC Catalog of Kepler Dwarf and Subgiant Stars
Authors: Aldo Serenelli, Jennifer Johnson, Daniel Huber, Marc Pinsonneault,
	 Warrick H. Ball, Jamie Tayar, Victor Silva Aguirre, Sarbani Basu,
	 Nicholas Troup, Saskia Hekker, Thomas Kallinger, Dennis Stello,
	 Guy R. Davies, Mikkel N. Lund, Savita Mathur, Benoit Mosser,
	 Keivan G. Stassun, William J. Chaplin, Yvonne Elsworth,
	 Rafael A. Garcia, Rasmus Handberg, Jon Holtzman2, Fred Hearty,
	 D. A. Garcia-Hernandez, Patrick Gaulme, and Olga Zamora
Table: Stellar fundamental parameters based on the SDSS Teff scale
============================================================================
Byte-by-byte description
----------------------------------------------------------------------------
   Bytes  Format   Units    Label      Explanation
----------------------------------------------------------------------------
  1- 10    A10    ----      KIC        KIC identification number
 12- 19    F8.3     K       Teff       SDSS Teff
 21- 28    F8.3     K       eTeff      SDSS Teff error
 30- 37    F8.3     K       [M/H]      ASPCAP [M/H]
 39- 46    F8.3     K       e[M/H]     ASPCAP [M/H] error
 48- 54    F7.3   solRad    Radius     Stellar radius in solar units
 56- 62    F7.3   solRadR   +eRad      Upper statistical radius uncertainty
 64- 70    F7.3   solRadR   -eRad      Lower statistical radius uncertainty
 72- 78    F7.3   solRadR   syRad      Systematic radius uncertainty
 80- 86    F7.3   solMass    Mass      Stellar mass in solar units
 88- 94    F7.3   solMass   +eMas      Upper statistical mass uncertainty
 96-102    F7.3   solMass   -eMas      Lower statistical mass uncertainty
104-110    F7.3   solMass   syMas      Systematic mass uncertainty
112-118    F7.3    dex      logg       Seismic surface gravity
120-126    F7.3    dex      +elogg     Upper statistical logg uncertainty
128-134    F7.3    dex      -elogg     Lower statistical logg uncertainty
136-142    F7.3    dex      sylogg     Systematic logg uncertainty
144-153   E10.3    solDen     rho      Stellar mean density in solar units
155-164   E10.3    solDen   +erho      Upper statistical density uncertainty
166-175   E10.3    solDen   -erho      Lower statistical density uncertainty
177-186   E10.3    solDen   syrho      Systematic density uncertainty
188-194    F7.3    Gyr      Age        Stellar age in Gyr
196-202    F7.3    Gyr      +eAge      Upper statistical age uncertainty
204-210    F7.3    Gyr      -eAge      Lower statistical age uncertainty
212-218    F7.3    Gyr      syAge      Systematic age uncertainty
--------------------------------------------------------------------------------
Note: A -99.000 indicates a null value.
--------------------------------------------------------------------------------
KIC Teff eTeff M_H eM_H R eR ER seR M eM EM seM logg elogg Elogg selogg rho erho Erho serho Age eAge EAge seAge
   1435467 6433.000   86.000   -0.028    0.099   1.693   0.015  -0.016   0.010   1.344   0.039  -0.036   0.022   4.109   0.006  -0.006   0.002  2.777e-01  2.376e-03 -2.391e-03  1.505e-03   2.605   0.302  -0.293   0.215 
   2010607 6361.000   71.000   -0.070    0.100   2.410   0.100  -0.090   0.035   1.402   0.067  -0.051   0.047   3.819   0.027  -0.027   0.003  9.973e-02  9.867e-03 -9.399e-03  1.393e-03   2.755   0.296  -0.301   0.184 
   2309595 5238.000   65.000   -0.095    0.101   2.423   0.076  -0.073   0.022   1.167   0.084  -0.077   0.023   3.736   0.008  -0.008   0.002  8.183e-02  2.543e-03 -2.494e-03  7.097e-04   5.460   1.351  -1.023   0.422 
   2450729 6029.000   59.000   -0.212    0.100   1.758   0.059  -0.056   0.023   1.112   0.051  -0.051   0.030   3.994   0.020  -0.021   0.006  2.043e-01  1.594e-02 -1.498e-02  2.889e-03   6.034   0.804  -0.718   0.550 
   2837475 6688.000   57.000   -0.015    0.100   1.710   0.022  -0.043   0.039   1.665   0.054  -0.133   0.091   4.193   0.008  -0.011   0.006  3.319e-01  2.563e-03 -2.835e-03  6.216e-03   1.131   0.197  -0.181   0.221 
   2849125 6158.000   56.000    0.293    0.101   2.534   0.115  -0.089   0.028   1.534   0.193  -0.071   0.038   3.820   0.015  -0.015   0.002  9.451e-02  5.343e-03 -5.109e-03  1.265e-03   2.583   0.291  -0.801   0.107 
   2852862 6417.000   58.000   -0.155    0.100   2.087   0.019  -0.021   0.026   1.458   0.032  -0.029   0.052   3.962   0.005  -0.007   0.004  1.604e-01  1.431e-03 -1.359e-03  9.177e-04   2.261   0.262  -0.156   0.302 
   2991448 5836.000   70.000   -0.085    0.100   1.757   0.033  -0.034   0.024   1.113   0.047  -0.050   0.024   3.994   0.007  -0.007   0.003  2.051e-01  4.602e-03 -4.537e-03  2.813e-03   6.882   0.896  -0.813   0.456 
   2998253 6333.000   54.000    0.057    0.100   1.425   0.062  -0.056   0.017   1.262   0.041  -0.045   0.043   4.230   0.029  -0.030   0.005  4.347e-01  4.684e-02 -3.082e-02  2.311e-03   2.624   0.451  -0.425   0.597 
   3112152 6282.000   59.000   -0.136    0.100   1.741   0.047  -0.046   0.031   1.251   0.084  -0.066   0.051   4.052   0.014  -0.016   0.004  2.361e-01  1.084e-02 -1.108e-02  2.280e-03   3.778   0.715  -0.914   0.859 
   3112889 6433.000   65.000   -0.358    0.102   1.986   0.052  -0.050   0.031   1.235   0.040  -0.047   0.042   3.932   0.017  -0.017   0.004  1.568e-01  9.464e-03 -9.384e-03  2.192e-03   3.635   0.409  -0.306   0.366 
