ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err
757137,4751,139,29.99,0.6,3.3989999999999996,0.011000000000000001,1.3185148239135742,0.05
892010,4834,151,17.85,0.89,2.427,0.078,1.4234123229980469,0.05
892738,4534,135,7.48,0.35,1.3,0.031,1.5498723983764648,0.05
892760,5188,183,29.48,0.48,3.9619999999999997,0.11599999999999999,1.298813819885254,0.05
893214,4728,80,41.39,0.54,4.311,0.013000000000000001,1.3484773635864258,0.05
893233,4207,147,6.15,0.12,1.176,0.018000000000000002,1.6980371475219727,0.05
1026084,5072,166,41.17,0.9,4.414,0.061,1.2972784042358398,0.05
1026180,4718,148,36.91,0.71,3.991,0.064,1.4362421035766602,0.05
1026309,4514,80,16.86,0.76,1.9269999999999998,0.028999999999999998,1.5296440124511719,0.05
1026326,5123,162,94.86,0.65,8.83,0.019,1.2665557861328125,0.05
1026452,5089,154,34.5,0.52,3.967,0.078,1.2475347518920898,0.05
1027110,4190,80,6.62,0.19,1.1520000000000001,0.016,1.628652572631836,0.05
1027337,4671,80,74.21,0.68,6.937,0.013999999999999999,1.3499155044555664,0.05
1027582,5039,155,157.75,1.06,12.633,0.018000000000000002,1.3234376907348633,0.05
1028267,5242,183,103.13,0.83,9.468,0.017,1.2777137756347656,0.05
1160684,4128,128,26.38,0.97,3.361,0.223,1.8122129440307617,0.05
1160789,4724,80,24.72,0.62,3.509,0.048,1.2150821685791016,0.05
1161447,4793,80,36.18,1.55,4.125,0.057,1.3754596710205078,0.05
1161618,4747,80,34.32,0.5,4.1080000000000005,0.027999999999999997,1.2738208770751953,0.05
1162220,4218,80,11.0,0.32,1.6680000000000001,0.021,1.6191425323486328,0.05
1162746,4989,100,27.38,0.77,3.7030000000000003,0.111,1.2559566497802734,0.05
1163114,4311,80,14.24,0.44,1.8980000000000001,0.016,1.642085075378418,0.05
1163359,4560,80,21.43,0.41,2.642,0.015,1.3558330535888672,0.05
1163453,5034,159,40.33,0.82,4.415,0.065,1.3052902221679688,0.05
1163621,4909,80,51.32,0.71,5.013,0.033,1.2751388549804688,0.05
1164301,5066,158,57.93,0.41,5.959,0.021,1.3361024856567383,0.05
1164584,4266,80,28.58,0.36,3.361,0.012,1.5944108963012695,0.05
1292147,4213,124,88.14,0.83,8.079,0.027000000000000003,1.6735382080078125,0.05
1294122,4795,80,75.62,0.84,7.022,0.016,1.284062385559082,0.05
1294385,4824,80,106.81,1.08,9.09,0.016,1.2123489379882812,0.05
1294578,4649,80,49.15,0.47,5.377000000000001,0.015,1.3289947509765625,0.05
1294924,5191,162,36.27,1.59,4.231,0.087,1.2483148574829102,0.05
1295017,4942,159,27.19,0.62,3.903,0.026000000000000002,1.3768386840820312,0.05
1295475,4897,159,40.05,0.59,4.282,0.051,1.3871726989746094,0.05
1296068,4609,80,59.56,0.49,6.14,0.013000000000000001,1.4519939422607422,0.05
1296179,5250,158,41.82,1.25,4.52,0.031,1.2155838012695312,0.05
1296507,4934,80,126.62,2.42,10.333,0.019,1.230769157409668,0.05
1297272,4825,80,31.79,1.42,4.24,0.034,1.320176124572754,0.05
1429497,5018,80,234.61,3.17,16.733,0.07,1.245452880859375,0.05
1429505,4685,80,55.78,0.5,5.755,0.01,1.4076385498046875,0.05
1429629,4261,128,63.33,0.79,6.263,0.013000000000000001,1.558100700378418,0.05
1430118,5070,155,160.91,0.95,13.32,0.018000000000000002,1.3259506225585938,0.05
